"","joint_model.statistics.P.gammas"
"Virus",0.853333333333333
"CountryUSA",0.0726666666666667
"SexMale",0.00133333333333333
"Delivery.ModeVaginal",0.00177777777777778
"HLA.CategoryLow/No Risk",0.562666666666667
"HLA.CategoryStandard Risk",0.672666666666667
"feeding_first_yearBreastmilk_and_formula",0.0815555555555556
"feeding_first_yearFormula",0.508222222222222
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.607111111111111
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0.401111111111111
"Age.at.Solid.Introduction..months.5",0.00577777777777778
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
