"","joint_model.statistics.P.gammas"
"Virus",0.867777777777778
"CountryUSA",0.1
"SexMale",0.00177777777777778
"Delivery.ModeVaginal",0.0175555555555556
"HLA.CategoryLow/No Risk",0.726222222222222
"HLA.CategoryStandard Risk",0.494888888888889
"feeding_first_yearBreastmilk_and_formula",0.178222222222222
"feeding_first_yearFormula",0.563111111111111
"Age.at.Gluten.Introduction..months.11",0
"Age.at.Gluten.Introduction..months.15",0.697555555555556
"Age.at.Gluten.Introduction..months.36",0
"Age.at.Gluten.Introduction..months.4",0
"Age.at.Gluten.Introduction..months.5",0
"Age.at.Gluten.Introduction..months.6",0
"Age.at.Gluten.Introduction..months.7",0
"Age.at.Gluten.Introduction..months.8",0
"Age.at.Gluten.Introduction..months.9",0
"Age.at.Solid.Introduction..months.4",0
"Age.at.Solid.Introduction..months.5",0
"Age.at.Solid.Introduction..months.6",0
"Age.at.Solid.Introduction..months.7",0
"Age.at.Solid.Introduction..months.8",0
