"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",2.35177472135904,1.62237306459464,0.276263138490526,5.87256437271771,4.29104996554564e-09,1.20149399035278e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",2.19527986742192,1.57504309353598,0.265901215689703,5.92341441332107,3.1532487405029e-09,1.20149399035278e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;Adeno-associated dependoparvovirus A",2.67026653382047,-1.1255756254688,0.277623166100938,-4.05432889941021,5.02784350476826e-05,0.000603341220572191
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;Enterovirus sp.",1.40336045991208,-0.690550676811021,0.242547687372531,-2.8470717832506,0.00441234117232444,0.0394801464349067
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;untyped human enterovirus",2.01056814037496,-1.15890183362194,0.275721741910066,-4.20315723233733,2.63217615689491e-05,0.000368504661965287
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;Astrovirus VA3",3.21556163259616,-1.34680456931518,0.274168544666161,-4.91232344306715,9.00034184111817e-07,1.89007178663482e-05
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human adenovirus sp.",1.21962303514416,-0.677992843853821,0.239835682197312,-2.82690564490749,0.00470001743272699,0.0394801464349067
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus C",43.9079356844051,-2.38522336241653,0.347334194645177,-6.86722873586684,6.54610660530619e-12,5.4987295484572e-10
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;unidentified adenovirus",3.70969727127359,-1.30198410130125,0.287737595784157,-4.52490088322665,6.04238169586459e-06,0.000101512012490525
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;Torque teno virus 7",3.68129638650036,-0.809617753481216,0.296915264965947,-2.72676365620364,0.00639588324396667,0.0488412902266546
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;unclassified Alphatorquevirus species",1.60743812266625,-0.933899044221454,0.272205873142669,-3.43085559998912,0.000601680792005867,0.00631764831606161
