"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",6.74451963226804,3.26093654060583,0.540291237012748,6.03551624978306,1.58455282214907e-09,7.92276411074536e-08
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Protoparvovirus;Ungulate protoparvovirus 1",3.65090345141707,1.43319379249498,0.479521309687843,2.98880104708581,0.00280074437210913,0.0247124503421394
"Viruses;Peploviricota;Herviviricetes;Herpesvirales;Herpesviridae;Lymphocryptovirus;Human gammaherpesvirus 4",8.17439172206707,2.18586935304912,0.561547084267888,3.8925842806199,9.91820267179701e-05,0.00135248218251777
"Viruses;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae;unclassified Picobirnaviridae genus;Lysoka partiti-like virus",11.9752896302412,-2.67360489192568,0.568240967678821,-4.70505479892969,2.5379777344216e-06,6.344944336054e-05
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Enterovirus;Rhinovirus C",1.45464610123918,-1.70804241568411,0.370372877992294,-4.6116832985801,3.99421224187334e-06,8.55902623258574e-05
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;Picornavirales sp.",2.71737180447677,-2.39878053686647,0.413991003319017,-5.79428180234631,6.86141651635999e-09,2.57303119363499e-07
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Cheetah astrovirus 1",1.57370891983826,1.29571374000623,0.34964120354203,3.70583823325181,0.000210692749316006,0.00263365936645007
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus 2",1.58386224463991,1.38371751139903,0.353053848906877,3.91928176306048,8.88132386561569e-05,0.00133219857984235
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus 3",1.27478290647432,0.975890664217505,0.343360085007847,2.84217853742436,0.00448063918721852,0.0373386598934877
"Viruses;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;unclassified Astroviridae genus;California sea lion astrovirus 5",1.67553569619356,1.52569896930363,0.359042530932541,4.24935442979676,2.14387476035738e-05,0.000401976517567009
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Adenovirus Lopburi070_2006_THA",4.3735911987058,-3.06817095345851,0.461041229236142,-6.65487327140327,2.83544260142923e-11,2.12658195107192e-09
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Simian mastadenovirus D",3.63348873656579,-2.24574544615301,0.450684358916406,-4.98296735114686,6.26165191538074e-07,1.87849557461422e-05
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;unclassified Adenoviridae genus;Pan troglodytes adenovirus",1.82467649220083,-1.62707875115746,0.410818658936698,-3.96057656039467,7.47690155994493e-05,0.00124615025999082
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;unclassified Alphatorquevirus species",4.38165733614055,3.94167432574222,0.471328713923887,8.36289877806754,6.11957157873012e-17,9.17935736809518e-15
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 7",11.0401587655027,1.6783593393931,0.547523337734884,3.06536584602314,0.00217403884870793,0.0211926893423317
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus SHA",3.22204952062773,-1.48544063204731,0.486443278056339,-3.05367696308318,0.00226055352984871,0.0211926893423317
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 13",1.85216642704943,1.57121579054536,0.42893531583068,3.66305998260489,0.000249220149955827,0.00287561711487493
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 9",1.52440998997396,1.30630921815368,0.403742719242853,3.23549913321888,0.00121430254125311,0.013010384370569
