"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",1.73665808257463,-1.89951565188169,0.327535212901097,-5.79942423612106,6.65429940065882e-09,3.24397095782117e-08
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;Lupine feces-associated densovirus 2",2.33432225554773,-1.31784507599806,0.34939718519012,-3.77176786722243,0.000162095020675685,0.000341713827370364
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;Tetranychus urticae-associated ambidensovirus",3.56512438289512,-1.51202490695482,0.367164639987209,-4.11811144724475,3.81989963744071e-05,9.02885368849621e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Ambidensovirus;unclassified Ambidensovirus species",1.80158700639736,-1.16224465220246,0.336051716722792,-3.4585291321728,0.000543133531295104,0.00105911038602545
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",3.72583175058472,2.11596111806336,0.413849046177117,5.11288146634457,3.17281403783884e-07,1.03116456229762e-06
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus chimpanzee_PT-LM1861_CMR",1.19547255460174,0.772849821198148,0.327821524245772,2.35753226691342,0.0183968564152868,0.0349988975705455
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",3.42561964258674,1.68332442602951,0.381443073786925,4.41304231668871,1.01928063970315e-05,3.05784191910946e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Human bocavirus",806.872874482063,3.4784504432765,0.581499862775699,5.98185943960961,2.20604607542092e-09,1.2290828134488e-08
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",13.595805243052,2.16294701058444,0.453267084472832,4.77190399364656,1.82492493712012e-06,5.69376580381476e-06
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 2",1998.53726095374,3.81567082502836,0.613579709905338,6.21870437276525,5.01276728118861e-10,3.00766036871317e-09
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;unclassified Bocaparvovirus species",6047.12420319768,2.86557421156042,0.663193655780983,4.32087096518723,1.55414540186701e-05,4.04077804485423e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Dependoparvovirus;Adeno-associated dependoparvovirus A",4.3265887474434,-1.44609335155413,0.36339480460839,-3.97940018188345,6.90893602852782e-05,0.000153970574350049
