"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae;unclassified Papillomaviridae genus;unclassified Papillomaviridae species",1.73665808257463,-0.844972940359919,0.323389788167678,-2.61286215977172,0.00897875067737085,0.031425627370798
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus;unclassified Parvoviridae species",4.77872044100956,-1.22362232033674,0.417463153840432,-2.9310905862711,0.00337774270476963,0.0141833594542426
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;Cardiovirus B",5943.08094636473,5.44932889641161,0.494663024342371,11.0162446519147,3.19095512790751e-28,1.78693487162821e-26
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;unclassified Cardiovirus species",331.154076504196,4.18610829041523,0.418253232391254,10.0085497641757,1.39786580560654e-23,3.91402425569831e-22
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;Picornavirales sp.",1.17639875491719,0.78255627236899,0.268369060352338,2.91597053453771,0.00354583986356064,0.0141833594542426
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",7.82674703947595,2.20668834446306,0.333000876781177,6.62667427723662,3.43334071836596e-11,6.40890267428312e-10
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;Human mastadenovirus A",22.8698160907631,-1.29345459593849,0.403511462732623,-3.20549653578383,0.00134829669753099,0.00686405591470322
"Viruses;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae;Mastadenovirus;unidentified adenovirus",6.32519895240233,-0.888629229534928,0.363169975706576,-2.44686865373722,0.0144103342923327,0.0448321511317017
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Alphatorquevirus;Torque teno virus 8",508.00377174597,-2.15334526588922,0.479390643127378,-4.49183833009661,7.06110176070828e-06,9.8855424649916e-05
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 3",50.4013465380829,-1.46389821818378,0.427685844309409,-3.42283533032888,0.000619716072083338,0.00385601111518521
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 5",7.70104427080201,-1.35144435938921,0.388368270965414,-3.47980115890971,0.000501786051254487,0.00351250235878141
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus 8",3.18362643534328,1.37749286365331,0.315094008382593,4.3716885342381,1.23289322058174e-05,0.000138084040705155
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Betatorquevirus;Torque teno mini virus ALH8",17.9103041164939,-1.24754331984852,0.397924868563145,-3.13512277921517,0.00171782198225133,0.00801650258383952
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 14",41.1566381742044,-1.2532247971737,0.440048366018233,-2.84792512358011,0.00440052766471633,0.016428636614941
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 3",47.0353637912208,-1.3805551437758,0.427685193112459,-3.22797039974397,0.00124671874005012,0.00686405591470322
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 4",34.4001775024521,-1.68813888133337,0.424060929148302,-3.98088756897242,6.86584202772786e-05,0.000640811922587934
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;Torque teno midi virus 8",5.09250294967199,-1.31259764449066,0.368640013669688,-3.56064886018256,0.000369939517219844,0.00295951613775875
"Viruses;unclassified Viruses phylum;unclassified Viruses class;unclassified Viruses order;Anelloviridae;Gammatorquevirus;unclassified Gammatorquevirus species",46.5383421100967,-1.10346467285482,0.426914840810396,-2.58474189081867,0.00974519199286036,0.0321018089176576
