"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocaparvovirus sp.",3.72583175058472,-1.97994946471877,0.490542422130442,-4.03624513476282,5.43134673100947e-05,0.000165409195898925
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Bocavirus PgBoV-1",3.42561964258674,-1.83749472527898,0.451202259896432,-4.07244131645253,4.65229239126004e-05,0.000148430281054487
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Human bocavirus",806.872874482063,-3.95260011070089,0.70201670886033,-5.63035047572818,1.79843795066956e-08,1.20495342694861e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 1",13.595805243052,-2.57789309312948,0.550005074230436,-4.68703510915141,2.77191429062064e-06,1.09246033806813e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;Primate bocaparvovirus 2",1998.53726095374,-4.06929974096829,0.739977354978741,-5.49922198779339,3.81470640655187e-08,2.12987774365813e-07
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;Bocaparvovirus;unclassified Bocaparvovirus species",6047.12420319768,-3.64212803176114,0.813839736235821,-4.47523986553759,7.63255762364862e-06,2.55690680392229e-05
"Viruses;Cossaviricota;Quintoviricetes;Piccovirales;Parvoviridae;unclassified Parvoviridae genus;unclassified Parvoviridae species",4.77872044100956,-1.50136557647276,0.542706449414839,-2.76644137561213,0.00566717734295998,0.0146038800760892
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Caliciviridae;unclassified Caliciviridae genus;unclassified Caliciviridae species",14.9911512434785,-3.7222554617542,0.522975938575436,-7.11745070316898,1.09941521840168e-12,1.22768032721521e-11
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;Cardiovirus B",5943.08094636473,-6.54180809638131,0.697919692134677,-9.37329634068979,7.03019002601892e-21,4.71022731743268e-19
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Cardiovirus;unclassified Cardiovirus species",331.154076504196,-4.42591335391165,0.59868775272408,-7.39269065347231,1.43886968103946e-13,1.92808537259288e-12
"Viruses;Pisuviricota;Pisoniviricetes;Picornavirales;unclassified Picornavirales family;unclassified Picornavirales genus;unclassified Picornavirales species",7.82674703947595,-2.47560363959506,0.486873147719117,-5.08469947704586,3.68208607470118e-07,1.64466511336653e-06
