"","term","estimate","conf.low","conf.high","p.value","comparison"
"1","Dx Status: Case",0.693393775189692,0.347821316880802,1.38230437335898,0.298239278570021,"Dx Status: Case"
"2","Country: USA",0.991915015793384,0.411384192480686,2.39167040576694,0.985576576637782,"Country: USA"
"3","Sex:Male",1.37479935688628,0.625262601438536,3.02284714829648,0.428462908422011,"Sex:Male"
"4","Delivery Mode: Vaginal",0.467465801827028,0.19236455808213,1.13599031992415,0.0932458851014589,"Delivery Mode: Vaginal"
"5","month18",0.734558888651046,0.294916383752774,1.82959235438267,0.507625149679112,"month18"
"6","month24",0.40300130812243,0.121506398773394,1.33663787247353,0.137373591872103,"month24"
"7","month30",0.576499336730901,0.18756881486987,1.77189094829941,0.336340396307679,"month30"
"8","month36",0.611936163227319,0.178881289295586,2.09337639134856,0.433829688776531,"month36"
"9","month48",0.488456380581503,0.12541100357573,1.90246173723272,0.301672114914289,"month48"
"10","month60",0.333199775643088,0.0386762796596573,2.87054730872706,0.317195862343222,"month60"
"11","month72",1.75805500076275e-16,0,Inf,0.999999137372356,"month72"
"12","month84",1.36470856619379e-12,0,Inf,0.999974564204687,"month84"
"13","month54",4.38005045587735e-18,0,Inf,0.999999327946918,"month54"
