"","term","estimate","std.error","statistic","p.value"
"1","get(Picornaviridae.species[i])",-1.08046722888046,1.11291025926961,-0.970848475769781,0.331623738920563
"2","CountryUSA",0.407206573309367,0.558941207143852,0.72853203182167,0.466287967858019
"3","SexMale",0.721153802251571,0.323739292050558,2.22757576840241,0.0259088180288188
"4","Delivery.ModeVaginal",-1.20977047226126,0.58143918417428,-2.08064833810486,0.037466105986355
"5","HLA.CategoryLow/No Risk",-0.37329165539706,0.42320943143573,-0.882049471654435,0.37775005485604
"6","HLA.CategoryStandard Risk",-0.508672531607549,0.293871204784183,-1.73093696601242,0.0834630075906194
"7","feeding_first_yearBreastmilk_and_formula",-0.174256399409998,0.32600462772906,-0.534521244756137,0.592980955042498
"8","feeding_first_yearFormula",-0.0740862250419814,0.340832291503206,-0.21736856186728,0.827921129462862
"9","Age.at.Gluten.Introduction..months.11",19.708621195072,2372.18403781315,0.00830821760913661,0.993371077703829
"10","Age.at.Gluten.Introduction..months.15",-0.406176239808271,3795.06558367223,-0.000107027462596639,0.999914604440175
"11","Age.at.Gluten.Introduction..months.36",19.5769342053912,2372.18402500421,0.00825270468017609,0.993415369094297
"12","Age.at.Gluten.Introduction..months.4",19.7845901774517,2372.18409277995,0.00834024232675223,0.993345526561351
"13","Age.at.Gluten.Introduction..months.5",20.0244224908523,2372.18407918618,0.00844134427279437,0.993264861719242
"14","Age.at.Gluten.Introduction..months.6",19.3604286773563,2372.1840043293,0.0081614363143934,0.993488188261774
"15","Age.at.Gluten.Introduction..months.7",18.4967471349208,2372.18399949071,0.00779734925237332,0.993778678457738
"16","Age.at.Gluten.Introduction..months.8",18.6845520436111,2372.1840235969,0.00787651879354624,0.993715512242953
"17","Age.at.Gluten.Introduction..months.9",20.1936505284371,2372.18401007796,0.00851268301390056,0.993207943684233
"18","Age.at.Solid.Introduction..months.4",0.477245801244539,36221.4714991856,1.31757706545762e-05,0.999989487256018
"19","Age.at.Solid.Introduction..months.5",0.504584949067675,36221.4714972801,1.39305480481533e-05,0.999988885030789
"20","Age.at.Solid.Introduction..months.6",0.722178438759682,36221.4714981162,1.99378547831012e-05,0.999984091893494
"21","Age.at.Solid.Introduction..months.7",0.216168968575534,36221.4714976747,5.96797865016088e-06,0.999995238241976
"22","Age.at.Solid.Introduction..months.8",21.4773416465568,36143.6984182728,0.00059422091779348,0.999525880331888
