"","effect","group","term","estimate","std.error","statistic","p.value"
"1","fixed",NA,"(Intercept)",86.8318175736716,86610809.3330733,1.0025517396997e-06,0.999999200079446
"2","fixed",NA,"CountryUSA",-71.7296962443203,15108728.3620658,-4.74756673926413e-06,0.999996211989797
"3","fixed",NA,"SexMale",-2.2177854121909,11528982.2030575,-1.92366105969246e-07,0.999999846514054
"4","fixed",NA,"Delivery.ModeVaginal",22.932605751864,14322624.3849861,1.60114551184512e-06,0.999998722470717
"5","fixed",NA,"HLA.CategoryLow/No Risk",42.1237403475943,16530366.6647637,2.54826412516219e-06,0.999997966779398
"6","fixed",NA,"HLA.CategoryStandard Risk",-33.7367731516146,11874580.216038,-2.84109185653984e-06,0.999997733136672
"7","fixed",NA,"feeding_first_yearBreastmilk_and_formula",-19.6124232292607,10499998.1013963,-1.86785016910171e-06,0.999998509671188
"8","fixed",NA,"feeding_first_yearFormula",-37.6851324141164,12944381.2383747,-2.91131199862962e-06,0.999997677109105
"9","fixed",NA,"Age.at.Gluten.Introduction..months.11",15.1572641597474,29844251.2235672,5.07878855669803e-07,0.999999594771302
"10","fixed",NA,"Age.at.Gluten.Introduction..months.15",-2.4490213106946,26085505.0089668,-9.3884374094071e-08,0.999999925091107
"11","fixed",NA,"Age.at.Gluten.Introduction..months.36",-42.5953047359804,33659370.0429523,-1.26548134090522e-06,0.999998990291976
"12","fixed",NA,"Age.at.Gluten.Introduction..months.4",6.15925223467589,40000776.3203649,1.53978317454308e-07,0.999999877143078
"13","fixed",NA,"Age.at.Gluten.Introduction..months.5",36.3071990658646,30800155.691544,1.17879920574014e-06,0.999999059454313
"14","fixed",NA,"Age.at.Gluten.Introduction..months.6",-31.7602173356496,20135190.7159268,-1.57734872163527e-06,0.999998741457808
"15","fixed",NA,"Age.at.Gluten.Introduction..months.7",-17.1794200637392,16670986.7955746,-1.03049809074887e-06,0.999999177781484
"16","fixed",NA,"Age.at.Gluten.Introduction..months.8",-28.2130415405117,19776119.1744188,-1.42662173966905e-06,0.99999886172054
"17","fixed",NA,"Age.at.Gluten.Introduction..months.9",-13.5588965137162,22398404.3190855,-6.05351002712399e-07,0.999999516999781
"18","fixed",NA,"Age.at.Solid.Introduction..months.4",-93.2398814757567,72349516.080827,-1.28874229610038e-06,0.999998971732419
"19","fixed",NA,"Age.at.Solid.Introduction..months.5",-70.8966863176254,70902087.1174664,-9.99923827350355e-07,0.999999202176216
"20","fixed",NA,"Age.at.Solid.Introduction..months.6",-85.696389549345,71248054.2980846,-1.20278919043616e-06,0.999999040313075
"21","fixed",NA,"Age.at.Solid.Introduction..months.7",-100.12252930165,70914300.433485,-1.41188066003079e-06,0.99999887348222
"22","fixed",NA,"Age.at.Solid.Introduction..months.8",-162.128695311492,80056939.031409,-2.02516730308516e-06,0.999998384150276
"23","fixed",NA,"Dx.StatusCONTROL:month12",-68.6851801251097,51763102.2434061,-1.32691390485313e-06,0.999998941275882
"24","fixed",NA,"Dx.StatusCELIAC:month12",-2.7603143715346,50891829.8742239,-5.42388508795331e-08,0.999999956723658
"25","fixed",NA,"Dx.StatusCONTROL:month18",3.2999966747824,51750295.1362837,6.37676880120568e-08,0.999999949120746
"26","fixed",NA,"Dx.StatusCELIAC:month18",-2.60594634796583,50953387.7612638,-5.11437308187571e-08,0.999999959193207
"27","fixed",NA,"Dx.StatusCONTROL:month24",-3.72705441167417,52113460.3942181,-7.15180758191924e-08,0.999999942936831
"28","fixed",NA,"Dx.StatusCELIAC:month24",-1.93491835288357,51500180.9740731,-3.75710981259983e-08,0.999999970022601
"29","fixed",NA,"Dx.StatusCONTROL:month30",-3.60907411067992,52489874.7998148,-6.87575294177051e-08,0.999999945139429
"30","fixed",NA,"Dx.StatusCELIAC:month30",-2.00074654353021,51392414.8270196,-3.8930775101043e-08,0.999999968937736
"31","fixed",NA,"Dx.StatusCONTROL:month36",-3.01992749098104,53189875.1864501,-5.67763597939473e-08,0.999999954699019
"32","fixed",NA,"Dx.StatusCELIAC:month36",-1.76963474443186,51746814.1816525,-3.41979457560367e-08,0.999999972713987
"33","fixed",NA,"Dx.StatusCONTROL:month48",-2.77178794351429,53324057.0435741,-5.19800648560799e-08,0.999999958525909
"34","fixed",NA,"Dx.StatusCELIAC:month48",-1.85321534521592,51870622.6798546,-3.57276479338597e-08,0.999999971493461
"35","fixed",NA,"Dx.StatusCONTROL:month54",30.728109414036,87279021.8876955,3.52067527218336e-07,0.999999719090756
"36","fixed",NA,"Dx.StatusCELIAC:month54",19.2835560594054,86593963.8799916,2.22689379205807e-07,0.999999822319583
"37","fixed",NA,"Dx.StatusCONTROL:month60",0.764321902637455,56455976.7783157,1.35383700053353e-08,0.999999989197944
"38","fixed",NA,"Dx.StatusCELIAC:month60",-1.55291848721986,54261872.8578643,-2.86189621815604e-08,0.999999977165372
"39","fixed",NA,"Dx.StatusCONTROL:month72",-3.47144444760486,71239752.689229,-4.87290356375664e-08,0.999999961119855
"40","fixed",NA,"Dx.StatusCELIAC:month72",0.482041448954557,67108863.9999998,7.18297733298777e-09,0.999999994268813
"41","fixed",NA,"Dx.StatusCONTROL:month84",-3.97757900062827,71239752.689229,-5.5833700293427e-08,0.999999955451153
"42","ran_pars","patientID","sd__(Intercept)",0.200784765533449,NA,NA,NA
