"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.309505382522156,0.36025311887601,0.859133110319247,0.390267081845351
"2","CountryUSA",0.365198113495473,0.559212962730693,0.653057310603414,0.513719332010663
"3","SexMale",0.712888904736175,0.322867855092474,2.2079897192986,0.0272449898319006
"4","Delivery.ModeVaginal",-1.18828399449161,0.581312160554938,-2.04414095407403,0.040939624307967
"5","HLA.CategoryLow/No Risk",-0.34553370875727,0.423186605471161,-0.816504360700559,0.414211730488404
"6","HLA.CategoryStandard Risk",-0.523110989488893,0.293858281764822,-1.7801471728047,0.0750518782050846
"7","feeding_first_yearBreastmilk_and_formula",-0.173055909097238,0.326902442365508,-0.52938089983355,0.596541245280441
"8","feeding_first_yearFormula",-0.0583107094531642,0.341953781915775,-0.170522194919097,0.864599480953389
"9","Age.at.Gluten.Introduction..months.11",19.6914369144411,2328.8197145326,0.00845554372095018,0.993253532603109
"10","Age.at.Gluten.Introduction..months.15",-0.394386923819912,3727.09679716472,-0.000105816120504284,0.999915570951323
"11","Age.at.Gluten.Introduction..months.36",19.4826300218927,2328.81970094398,0.00836588165841928,0.99332507004814
"12","Age.at.Gluten.Introduction..months.4",19.8073170205136,2328.81977174144,0.00850530266912933,0.993213832134205
"13","Age.at.Gluten.Introduction..months.5",20.0719444565067,2328.81975839778,0.00861893428382632,0.993123170546524
"14","Age.at.Gluten.Introduction..months.6",19.3292016767656,2328.8196798428,0.00829999928464638,0.99337763475197
"15","Age.at.Gluten.Introduction..months.7",18.4756749507853,2328.81967511443,0.00793349315458594,0.993670054700247
"16","Age.at.Gluten.Introduction..months.8",18.618453311046,2328.81969986282,0.00799480239373735,0.993621138556244
"17","Age.at.Gluten.Introduction..months.9",20.1931877153126,2328.81968633274,0.00867099665715701,0.993081632334866
"18","Age.at.Solid.Introduction..months.4",0.332332010614123,33923.8267931315,9.79641868356105e-06,0.999992183588781
"19","Age.at.Solid.Introduction..months.5",0.390529650624893,33923.8267910235,1.15119574519296e-05,0.999990814786885
"20","Age.at.Solid.Introduction..months.6",0.615289615870938,33923.8267919049,1.8137388203437e-05,0.99998552845798
"21","Age.at.Solid.Introduction..months.7",0.109499116029402,33923.8267914439,3.22779374811039e-06,0.999997424593203
"22","Age.at.Solid.Introduction..months.8",20.8918536064948,33843.7882790077,0.000617302455453943,0.999507463932729
