"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.326631584387816,0.219462977316644,1.48832203217834,0.13666598731318
"2","CountryUSA",0.434137705260173,0.55574828284656,0.781176872084076,0.434698474430604
"3","SexMale",0.623057659075134,0.325869337217254,1.91198614879113,0.0558779706903439
"4","Delivery.ModeVaginal",-1.11704670904606,0.585174921479787,-1.90891076846096,0.0562736036422356
"5","HLA.CategoryLow/No Risk",-0.217456037092011,0.434694353938625,-0.500250429115796,0.616898753676231
"6","HLA.CategoryStandard Risk",-0.484205340306853,0.293364957870499,-1.65052207946594,0.0988362012167052
"7","feeding_first_yearBreastmilk_and_formula",-0.200831683868615,0.329049252883743,-0.610339279328407,0.541637082237238
"8","feeding_first_yearFormula",-0.0542253856574941,0.33900852555958,-0.159952867167537,0.872918202620114
"9","Age.at.Gluten.Introduction..months.11",19.8384214286105,2308.64485015517,0.00859310232462872,0.993143780704697
"10","Age.at.Gluten.Introduction..months.15",-0.347121106894944,3716.42144203155,-9.34019761507975e-05,0.999925476005389
"11","Age.at.Gluten.Introduction..months.36",19.581087266735,2308.64482526912,0.00848163695533048,0.993232713960794
"12","Age.at.Gluten.Introduction..months.4",20.1044181421183,2308.64491800046,0.00870831975301377,0.993051853937229
"13","Age.at.Gluten.Introduction..months.5",20.2732254068148,2308.64489703096,0.00878143946385486,0.992993515079586
"14","Age.at.Gluten.Introduction..months.6",19.4300054708522,2308.64481114973,0.00841619524017464,0.993284927031314
"15","Age.at.Gluten.Introduction..months.7",18.603362135422,2308.64480671487,0.00805813093521907,0.99357061131836
"16","Age.at.Gluten.Introduction..months.8",18.7820801290753,2308.64483296219,0.00813554335465985,0.993508847168713
"17","Age.at.Gluten.Introduction..months.9",20.2754890652928,2308.64481718662,0.00878242028152304,0.992992732530488
"18","Age.at.Solid.Introduction..months.4",0.296216988005047,33883.1779798705,8.74230239504172e-06,0.999993024651893
"19","Age.at.Solid.Introduction..months.5",0.321121939865416,33883.1779776592,9.4773264797401e-06,0.999992438187524
"20","Age.at.Solid.Introduction..months.6",0.580981068283119,33883.1779785365,1.71465931752667e-05,0.999986318998036
"21","Age.at.Solid.Introduction..months.7",0.0738880272636239,33883.1779781991,2.18066992745381e-06,0.999998260077133
"22","Age.at.Solid.Introduction..months.8",20.9369282344134,33804.4419150439,0.000619354352514717,0.999505826756057
