"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.502419584538935,0.283346596585575,1.77316258812799,0.0762017693488668
"2","CountryUSA",0.457009161911232,0.559114804488249,0.817379826544795,0.413711400637528
"3","SexMale",0.851342529208777,0.329605319102406,2.58291501947598,0.00979694511842934
"4","Delivery.ModeVaginal",-1.13693899498653,0.582557548454568,-1.95163378794532,0.0509816987699858
"5","HLA.CategoryLow/No Risk",-0.33751803853954,0.419449656785685,-0.804668767942258,0.421010847030269
"6","HLA.CategoryStandard Risk",-0.44656412319328,0.294283837834548,-1.51746057982412,0.129150438923561
"7","feeding_first_yearBreastmilk_and_formula",-0.198061466868497,0.325456978222856,-0.608564203938732,0.542813337336654
"8","feeding_first_yearFormula",-0.0765023933946454,0.340981608454432,-0.224359295333869,0.822477740954461
"9","Age.at.Gluten.Introduction..months.11",19.6523947784629,2331.73014883802,0.00842824577632038,0.993275312435579
"10","Age.at.Gluten.Introduction..months.15",-0.428506409697121,3734.30754368001,-0.000114748559052757,0.999908443896558
"11","Age.at.Gluten.Introduction..months.36",19.4776863467062,2331.73013890563,0.00835331928927581,0.993335093018304
"12","Age.at.Gluten.Introduction..months.4",19.8550527538566,2331.73020796541,0.00851515869461648,0.993205968448403
"13","Age.at.Gluten.Introduction..months.5",19.785053990438,2331.73019198857,0.00848513865730097,0.993229920107391
"14","Age.at.Gluten.Introduction..months.6",19.2062800949027,2331.73011806607,0.00823692242343738,0.993427961085294
"15","Age.at.Gluten.Introduction..months.7",18.4565885525129,2331.73011238416,0.00791540515537678,0.993684486382412
"16","Age.at.Gluten.Introduction..months.8",18.6302784299321,2331.73013654842,0.00798989477294737,0.993625054146042
"17","Age.at.Gluten.Introduction..months.9",20.1531970488821,2331.73012332249,0.0086430229842233,0.99310395126026
"18","Age.at.Solid.Introduction..months.4",0.436327585967043,34082.5031742124,1.28020991808248e-05,0.999989785402718
"19","Age.at.Solid.Introduction..months.5",0.432846922784629,34082.5031723399,1.26999745469374e-05,0.999989866886387
"20","Age.at.Solid.Introduction..months.6",0.68837718070342,34082.5031732234,2.01973774404058e-05,0.999983884824373
"21","Age.at.Solid.Introduction..months.7",0.102586285607799,34082.5031727739,3.00993988287068e-06,0.999997598415439
"22","Age.at.Solid.Introduction..months.8",21.1348721964042,34002.6519402729,0.000621565407119671,0.999504062590064
