"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-0.0311955170681817,0.620598000970326,-0.0502668668274897,0.959909726818016
"2","CountryUSA",0.40242420805532,0.562452556909939,0.715481160342127,0.474311778081067
"3","SexMale",0.718028588012194,0.328053889880515,2.1887519403404,0.0286148745607504
"4","Delivery.ModeVaginal",-1.2081671823354,0.582628607919354,-2.07364891787572,0.0381119285535189
"5","HLA.CategoryLow/No Risk",-0.374173166612392,0.423188095879257,-0.884176965883158,0.376600690568575
"6","HLA.CategoryStandard Risk",-0.51315938698519,0.293979326967968,-1.74556283354273,0.0808869452261431
"7","feeding_first_yearBreastmilk_and_formula",-0.176341909151467,0.32638819243486,-0.540282746860278,0.589002054904731
"8","feeding_first_yearFormula",-0.0808986261733448,0.341100019275606,-0.23716980827251,0.812525057670534
"9","Age.at.Gluten.Introduction..months.11",19.6689332895685,2328.68631581042,0.00844636443991098,0.993260856348198
"10","Age.at.Gluten.Introduction..months.15",-0.40852209410828,3729.17161561361,-0.000109547678738583,0.999912593598637
"11","Age.at.Gluten.Introduction..months.36",19.5341489839459,2328.68630323227,0.00838848451027176,0.993307036214411
"12","Age.at.Gluten.Introduction..months.4",19.7448607034133,2328.68637187908,0.00847896949192029,0.993234842212137
"13","Age.at.Gluten.Introduction..months.5",19.9912733761204,2328.68636020027,0.00858478570484741,0.993150416162466
"14","Age.at.Gluten.Introduction..months.6",19.3178355505903,2328.68628167406,0.00829559383014141,0.993381149675094
"15","Age.at.Gluten.Introduction..months.7",18.4564442601036,2328.68627680034,0.00792568945159204,0.993676280958632
"16","Age.at.Gluten.Introduction..months.8",18.6474876040323,2328.68630174112,0.00800772847338426,0.993610825366994
"17","Age.at.Gluten.Introduction..months.9",20.1551668389635,2328.6862876817,0.00865516619631439,0.993094262741204
"18","Age.at.Solid.Introduction..months.4",0.376704495524801,33761.2315237823,1.11579014900402e-05,0.99999109728267
"19","Age.at.Solid.Introduction..months.5",0.406810870083546,33761.2315216947,1.20496454586419e-05,0.999990385773926
"20","Age.at.Solid.Introduction..months.6",0.619967725165079,33761.2315226042,1.83633030314665e-05,0.999985348204027
"21","Age.at.Solid.Introduction..months.7",0.113417103254789,33761.2315221197,3.35938880607718e-06,0.999997319595538
"22","Age.at.Solid.Introduction..months.8",21.005966253991,33680.8327194078,0.000623677164664841,0.999502377651649
