"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.29057970517797,1.04549630858429,1.23441823235661,0.21704709854041
"2","CountryUSA",0.407690944157467,0.559281109414915,0.728955327284286,0.46602898926729
"3","SexMale",0.730516220521289,0.324429310257942,2.25169612431282,0.0243414817572595
"4","Delivery.ModeVaginal",-1.19586209063151,0.582797617459212,-2.05193373275107,0.0401761030069182
"5","HLA.CategoryLow/No Risk",-0.382619288940938,0.422588737646207,-0.905417619674635,0.365244184751851
"6","HLA.CategoryStandard Risk",-0.511332949935364,0.29376944068115,-1.74059272043327,0.081754994564311
"7","feeding_first_yearBreastmilk_and_formula",-0.177688414342693,0.325501527360216,-0.545891184547511,0.585140738392121
"8","feeding_first_yearFormula",-0.0610960681790915,0.341264014373423,-0.179028744918408,0.857915131129581
"9","Age.at.Gluten.Introduction..months.11",19.69918928497,2329.97637252382,0.00845467341097194,0.993254226985183
"10","Age.at.Gluten.Introduction..months.15",-0.3653011936234,3731.28456647199,-9.79022604992041e-05,0.999921885298005
"11","Age.at.Gluten.Introduction..months.36",19.5454628099238,2329.97635968933,0.00838869576021356,0.993306867667274
"12","Age.at.Gluten.Introduction..months.4",19.7790119882939,2329.9764292746,0.00848893222256834,0.993226893389243
"13","Age.at.Gluten.Introduction..months.5",19.9937530814577,2329.97641490855,0.00858109676712861,0.993153359400506
"14","Age.at.Gluten.Introduction..months.6",19.341233938771,2329.97633854679,0.00830104307017733,0.9933768019603
"15","Age.at.Gluten.Introduction..months.7",18.4459633522186,2329.97633385349,0.00791680288087361,0.99368337119376
"16","Age.at.Gluten.Introduction..months.8",18.6699795640389,2329.97635836895,0.00801294807004324,0.993606660865017
"17","Age.at.Gluten.Introduction..months.9",20.1744110643523,2329.97634459461,0.00865863342825585,0.993091496394029
"18","Age.at.Solid.Introduction..months.4",0.376089488582398,33906.2373411635,1.10920443574496e-05,0.99999114982906
"19","Age.at.Solid.Introduction..months.5",0.417880172459762,33906.2373391384,1.23245811170382e-05,0.999990166407009
"20","Age.at.Solid.Introduction..months.6",0.603105619529105,33906.2373400547,1.77874534847497e-05,0.999985807665489
"21","Age.at.Solid.Introduction..months.7",0.118497637237673,33906.2373395582,3.49486249538584e-06,0.999997211503173
"22","Age.at.Solid.Introduction..months.8",21.0303216941682,33826.0897006769,0.000621718971369824,0.999503940063543
