"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.625291041147652,0.49858224974561,1.25413819177617,0.209791780760427
"2","CountryUSA",0.458945536162752,0.563421001945631,0.814569450868711,0.415318802939392
"3","SexMale",0.767551486880175,0.328457255028268,2.33683827995858,0.0194475945722389
"4","Delivery.ModeVaginal",-1.24717848020043,0.583317691197676,-2.13807758451438,0.0325104468753918
"5","HLA.CategoryLow/No Risk",-0.378711989824953,0.423818436870949,-0.893571295814745,0.371551310011718
"6","HLA.CategoryStandard Risk",-0.516157888049451,0.292127250923809,-1.76689400395608,0.0772459813912301
"7","feeding_first_yearBreastmilk_and_formula",-0.190381869839607,0.326273219681289,-0.583504432345308,0.559553774132904
"8","feeding_first_yearFormula",-0.0890144002206572,0.337981288575326,-0.263370793678771,0.792264799438589
"9","Age.at.Gluten.Introduction..months.11",19.6636607864188,2320.54888498522,0.00847371107484514,0.993239037671215
"10","Age.at.Gluten.Introduction..months.15",-0.515795563055198,3721.84708924872,-0.000138585909277459,0.999889424442997
"11","Age.at.Gluten.Introduction..months.36",19.5847144688698,2320.54887237769,0.00843969058441022,0.993266181124672
"12","Age.at.Gluten.Introduction..months.4",19.7918404306168,2320.54894132816,0.0085289476460208,0.993194966856473
"13","Age.at.Gluten.Introduction..months.5",19.9775917802561,2320.54892611737,0.00860899399939891,0.993131101451755
"14","Age.at.Gluten.Introduction..months.6",19.2592924258536,2320.54885008604,0.00829945571933964,0.993378068439399
"15","Age.at.Gluten.Introduction..months.7",18.4742659392419,2320.54884542577,0.00796116228092249,0.993647978628707
"16","Age.at.Gluten.Introduction..months.8",18.5926682952734,2320.54887002257,0.00801218562360749,0.993607269189729
"17","Age.at.Gluten.Introduction..months.9",20.1881478412794,2320.54885643886,0.00869972971491767,0.993058707536383
"18","Age.at.Solid.Introduction..months.4",0.374960461200305,33835.9165716127,1.10817290971478e-05,0.999991158059446
"19","Age.at.Solid.Introduction..months.5",0.376002194148288,33835.9165695691,1.11125168835075e-05,0.999991133494347
"20","Age.at.Solid.Introduction..months.6",0.659951288804781,33835.9165704245,1.95044602214688e-05,0.999984437692323
"21","Age.at.Solid.Introduction..months.7",0.0603383343091003,33835.9165700582,1.78326288824386e-06,0.999998577162074
"22","Age.at.Solid.Introduction..months.8",21.077519719337,33756.2569360195,0.000624403344224053,0.999501798244303
