"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-1.21982409716402,0.696342218884405,-1.75175949997442,0.079815170950386
"2","CountryUSA",0.412706735153482,0.559024843482533,0.738261885791087,0.46035532278687
"3","SexMale",0.711332875212774,0.323758687185511,2.19710822710739,0.0280127176899674
"4","Delivery.ModeVaginal",-1.19561822988465,0.580874650596584,-2.05830677695557,0.0395606940587969
"5","HLA.CategoryLow/No Risk",-0.365260699026141,0.423977987830129,-0.861508638444894,0.388957965499743
"6","HLA.CategoryStandard Risk",-0.516593282928584,0.294134751564627,-1.75631502289548,0.0790346335241414
"7","feeding_first_yearBreastmilk_and_formula",-0.161347713287103,0.325613265801967,-0.495519471203707,0.620233481068456
"8","feeding_first_yearFormula",-0.017491879154548,0.344616942234656,-0.0507574556292056,0.959518792639662
"9","Age.at.Gluten.Introduction..months.11",19.5922296415902,2313.47301326593,0.00846875218740149,0.99324299414898
"10","Age.at.Gluten.Introduction..months.15",-0.52199836975905,3720.46069217801,-0.000140304766787756,0.99988805299314
"11","Age.at.Gluten.Introduction..months.36",19.9515588430506,2313.4730080217,0.00862407245464757,0.993119071031717
"12","Age.at.Gluten.Introduction..months.4",19.700479737386,2313.47307053481,0.00851554314087253,0.993205661715792
"13","Age.at.Gluten.Introduction..months.5",19.9286934401523,2313.47305538323,0.00861418869512235,0.993126956837923
"14","Age.at.Gluten.Introduction..months.6",19.2348175396986,2313.47297874798,0.00831426073111438,0.993366256156635
"15","Age.at.Gluten.Introduction..months.7",18.4257109567817,2313.47297446679,0.00796452396900315,0.993645296474724
"16","Age.at.Gluten.Introduction..months.8",18.5756905822374,2313.47299883225,0.00802935266225873,0.99359357231522
"17","Age.at.Gluten.Introduction..months.9",20.1085695652877,2313.47298505943,0.00869194051331062,0.993064922185114
"18","Age.at.Solid.Introduction..months.4",0.459038381954207,33717.2598702342,1.36143442177948e-05,0.999989137324944
"19","Age.at.Solid.Introduction..months.5",0.468368020213514,33717.2598681662,1.38910463674932e-05,0.99998891654857
"20","Age.at.Solid.Introduction..months.6",0.69776799508671,33717.2598690476,2.06946827173005e-05,0.99998348803217
"21","Age.at.Solid.Introduction..months.7",0.182116968739986,33717.2598685733,5.40129801323895e-06,0.999995690387707
"22","Age.at.Solid.Introduction..months.8",21.045508732976,33637.8059722219,0.000625650458604685,0.999500803191188
