"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.4270669944366,0.631860150659928,2.25851716229635,0.0239134358210442
"2","CountryUSA",0.389047957306036,0.559431460439971,0.695434534554179,0.486783024380979
"3","SexMale",0.667929335159197,0.327426135346947,2.03993897570653,0.0413564041408155
"4","Delivery.ModeVaginal",-1.15787663699154,0.583556851661642,-1.98417109437505,0.0472367697445724
"5","HLA.CategoryLow/No Risk",-0.349812171282375,0.427194399929434,-0.818859449796531,0.412866607727252
"6","HLA.CategoryStandard Risk",-0.524878766069873,0.29475003446127,-1.78075896421597,0.074951835863744
"7","feeding_first_yearBreastmilk_and_formula",-0.194462041133335,0.32736396791433,-0.594023961684827,0.552496086538142
"8","feeding_first_yearFormula",-0.0432309085405424,0.340722398079673,-0.126880148719878,0.899035258670845
"9","Age.at.Gluten.Introduction..months.11",20.0293037960876,2718.68325759851,0.00736728110569971,0.994121813325606
"10","Age.at.Gluten.Introduction..months.15",-0.321136259872134,4342.08043559205,-7.395907667665e-05,0.999940989194642
"11","Age.at.Gluten.Introduction..months.36",19.834109889318,2718.68324603353,0.00729548391422769,0.994179097656665
"12","Age.at.Gluten.Introduction..months.4",20.1527322695164,2718.68330599788,0.00741268106699153,0.994085590386547
"13","Age.at.Gluten.Introduction..months.5",20.2945339584169,2718.68329389267,0.00746483932277332,0.994043975270951
"14","Age.at.Gluten.Introduction..months.6",19.6685817210136,2718.68322825586,0.00723459854263042,0.994227675872618
"15","Age.at.Gluten.Introduction..months.7",18.7865219160705,2718.68322373717,0.0069101547955433,0.994486538054101
"16","Age.at.Gluten.Introduction..months.8",18.984075658119,2718.68324492637,0.00698281997122957,0.994428561031145
"17","Age.at.Gluten.Introduction..months.9",20.4877400921741,2718.68323290976,0.0075359055605189,0.993987274211969
"18","Age.at.Solid.Introduction..months.4",0.389829725044892,42373.672397831,9.19980976359383e-06,0.999992659613827
"19","Age.at.Solid.Introduction..months.5",0.452336055481574,42373.6723961394,1.06749316238822e-05,0.99999148263687
"20","Age.at.Solid.Introduction..months.6",0.630979966363077,42373.6723968685,1.48908492153658e-05,0.999988118821314
"21","Age.at.Solid.Introduction..months.7",0.172115735435982,42373.6723964786,4.06185552730816e-06,0.999996759108187
"22","Age.at.Solid.Introduction..months.8",21.3535497960326,42286.3686946784,0.000504974781594805,0.999597088435294
