"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.248110854005785,0.433559165636691,0.57226527235661,0.567142273029692
"2","CountryUSA",-0.743629253827404,0.31043109171297,-2.39547285590509,0.0165989432263769
"3","SexMale",0.402011109767138,0.264209141581271,1.52156396770049,0.128118371771868
"4","Delivery.ModeVaginal",-0.209709354110603,0.326554422834765,-0.642188068653767,0.520751078974543
"5","HLA.CategoryLow/No Risk",-0.687519798496116,0.346948303157888,-1.98162029396997,0.0475217540894401
"6","HLA.CategoryStandard Risk",-0.996981593468552,0.263799404683056,-3.77931707111463,0.000157259073326336
"7","feeding_first_yearBreastmilk_and_formula",-0.276299785532474,0.259731193261073,-1.06379130694074,0.287423250246039
"8","feeding_first_yearFormula",-0.0665199574819159,0.307102751998574,-0.216604888914264,0.828516275389453
"9","feeding_first_yearUnknown",0.608465962757241,0.693296765438628,0.877641427293092,0.380138339993338
"10","Age.at.Gluten.Introduction..months.11",2.23773770685716,0.612250670582786,3.6549371268587,0.00025724501263528
"11","Age.at.Gluten.Introduction..months.12",-16.0617257962021,10994.0628465636,-0.00146094542303099,0.998834334617447
"12","Age.at.Gluten.Introduction..months.15",-15.479882505152,1663.80971393588,-0.00930387794679542,0.992576686527135
"13","Age.at.Gluten.Introduction..months.36",2.29994423462261,0.662216731220007,3.47309895113251,0.000514485634445633
"14","Age.at.Gluten.Introduction..months.4",2.48368359568391,0.702359931421,3.53619773078309,0.000405930740602343
"15","Age.at.Gluten.Introduction..months.5",3.15937276565467,0.662249233442811,4.77067032487173,1.83613848277588e-06
"16","Age.at.Gluten.Introduction..months.6",1.83979773594271,0.49655501953516,3.70512362892836,0.000211287652530504
"17","Age.at.Gluten.Introduction..months.7",1.1058655039014,0.50602518062032,2.18539619420867,0.0288598096793127
"18","Age.at.Gluten.Introduction..months.8",1.26440509140788,0.548834940880765,2.30379845965852,0.0212339596407136
"19","Age.at.Gluten.Introduction..months.9",2.85702383722827,0.535775273716729,5.33250408778441,9.68675881835162e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.05715758756415,0.843499835801303,2.43883578899563,0.014734662183406
