"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-0.340626899628985,0.711324254046113,0.284842966847119,-1.1958410046045,0.231758610960289,0.407013527944569,1.2431581744948
"CountryUSA","CountryUSA",-0.768040449376358,0.463921255386659,0.308460603991178,-2.48991423682204,0.0127773923819904,0.2534440668595,0.84919301472086
"SexMale","SexMale",0.35857588934363,1.43128964763862,0.267289314179845,1.34152721534675,0.17974933967444,0.847638068848141,2.41682167274686
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.169154406500769,0.844378515788,0.327032861069394,-0.517239784245643,0.604988783004849,0.444801556841819,1.60290598573128
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.675445443208531,0.50892967084373,0.344566430989329,-1.96027640089365,0.0499634927876825,0.259037293259511,0.999892357605918
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.02855377514128,0.357523646442177,0.261928245310741,-3.92685322623778,8.60644636758397e-05,0.213969092388081,0.597390755546484
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.247759890053526,0.780547337959008,0.260500551062482,-0.95109161590257,0.341557870421211,0.468447338507064,1.30058193677987
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0656311889003114,0.93647618341998,0.306973701195189,-0.213800689260283,0.830702487430422,0.513097913529465,1.70920134147552
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.777241245882704,2.17546241356748,0.709812306545277,1.09499544980505,0.273518629935603,0.541200580142985,8.74469999938744
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.18474492940948,8.88838109958743,0.614104718532301,3.55760974224556,0.000374244766521887,2.66744690169039,29.6175787122277
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.1308668363811,9.87310020101241e-08,10994.8015179658,-0.00146713579231265,0.998829395422664,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.5067062019863,1.84299036165916e-07,1666.60539459293,-0.00930436577986347,0.992576297309509,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.20685436208677,9.08708670287516,0.666345588538072,3.31187659984137,0.000926724137693088,2.4616725253905,33.5443256135263
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.49677729219709,12.1432965372036,0.702260576856564,3.55534309411627,0.000377486169677028,3.06599409288539,48.095216860541
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.1568685080918,23.4969002475831,0.665482306503775,4.74373018972803,2.09818270293814e-06,6.3760396174491,86.5904784741215
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.83896379725884,6.29001715000078,0.495606527001115,3.71053183739587,0.000206824282473877,2.3811721199701,16.6154791648579
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.09377509137225,2.98552344930578,0.505702947666171,2.16288059308343,0.0305503647879474,1.10806530605476,8.0440658304612
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.30450049165567,3.68584752220985,0.548629662481481,2.37774327723248,0.0174189484850101,1.25760121943091,10.802686691993
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.8369505472576,17.0636513192975,0.537008145085377,5.28288178349058,1.27167455887145e-07,5.95620732401016,48.8848323282556
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",1.8910985862903,6.62664462462067,0.858046660330666,2.20395774929247,0.0275273155911363,1.23288633596208,35.617572926337
