"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.00572811597123477,0.343003230835537,0.0166998892613384,0.986676035506002
"2","CountryUSA",-0.729088142269718,0.309043655972782,-2.35917524329938,0.0183156042322698
"3","SexMale",0.403787945823603,0.265016962758332,1.52363056923196,0.127601022393842
"4","Delivery.ModeVaginal",-0.221790236747705,0.326296765715161,-0.679719384473813,0.496682159629145
"5","HLA.CategoryLow/No Risk",-0.709819647372795,0.344809153353364,-2.05858701971686,0.0395338172692112
"6","HLA.CategoryStandard Risk",-1.01250998343834,0.262091287830216,-3.86319588041497,0.000111913197019377
"7","feeding_first_yearBreastmilk_and_formula",-0.278945077396833,0.260015835154244,-1.07280034399197,0.283360706442363
"8","feeding_first_yearFormula",-0.0744168158405469,0.307012461238199,-0.242390212893704,0.808477817283679
"9","feeding_first_yearUnknown",0.616720184142568,0.693894099303768,0.888781421778001,0.37412056228756
"10","Age.at.Gluten.Introduction..months.11",2.23758475967688,0.61432421170842,3.64235157434902,0.000270158753358611
"11","Age.at.Gluten.Introduction..months.12",-16.0819933296092,10979.8603606389,-0.00146468104341843,0.998831354026803
"12","Age.at.Gluten.Introduction..months.15",-15.4717320010013,1664.40559929055,-0.00929565005524858,0.992583251150889
"13","Age.at.Gluten.Introduction..months.36",2.31369543715326,0.663537970564219,3.48690736595809,0.000488640577107012
"14","Age.at.Gluten.Introduction..months.4",2.48775424106083,0.70491829495791,3.52913842477215,0.00041691499289012
"15","Age.at.Gluten.Introduction..months.5",3.15965396928239,0.662811628985258,4.76704667074069,1.86946016689737e-06
"16","Age.at.Gluten.Introduction..months.6",1.84900594902611,0.496039533369002,3.72753747361228,0.000193359817676397
"17","Age.at.Gluten.Introduction..months.7",1.10900422883315,0.506773086228185,2.18836449482205,0.0286430623922102
"18","Age.at.Gluten.Introduction..months.8",1.27436240596233,0.548748110547994,2.32230850816001,0.0202163297510655
"19","Age.at.Gluten.Introduction..months.9",2.86904674793309,0.53786251859314,5.3341637477129,9.59858765873915e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.0580088502725,0.846246197159407,2.43192685199722,0.0150187400663446
