"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.447571062154328,0.313136136120187,1.42931782866013,0.152912903969143
"2","CountryUSA",-0.744589874636528,0.310115199318241,-2.40101058017613,0.016349863765985
"3","SexMale",0.417913418546206,0.262926279280884,1.58946994453814,0.111954334355755
"4","Delivery.ModeVaginal",-0.197739311548996,0.326967589720717,-0.60476731567767,0.545333613409624
"5","HLA.CategoryLow/No Risk",-0.716066189850158,0.345620757850408,-2.07182634024571,0.0382816393043879
"6","HLA.CategoryStandard Risk",-1.00902235895679,0.260900203300192,-3.86746482445554,0.000109972685429225
"7","feeding_first_yearBreastmilk_and_formula",-0.268175212467363,0.260695224273829,-1.02869246344796,0.303624212555532
"8","feeding_first_yearFormula",-0.0738314327535325,0.308850417027813,-0.239052397804869,0.811064952745979
"9","feeding_first_yearUnknown",0.598447521606572,0.688634750949516,0.869034739796981,0.384828129629753
"10","Age.at.Gluten.Introduction..months.11",2.23695785792455,0.612353408595178,3.65305038973562,0.000259143352051936
"11","Age.at.Gluten.Introduction..months.12",-16.071684560769,11080.2071878239,-0.00145048592398437,0.998842680081407
"12","Age.at.Gluten.Introduction..months.15",-15.4772597060274,1661.47100823844,-0.00931539559178769,0.992567497174245
"13","Age.at.Gluten.Introduction..months.36",2.27312974851316,0.662110765891321,3.4331563019567,0.000596598063832232
"14","Age.at.Gluten.Introduction..months.4",2.50629025104776,0.702625260893882,3.5670369264254,0.000361040620209929
"15","Age.at.Gluten.Introduction..months.5",3.14963172710257,0.660622936462348,4.76766935155011,1.86369319514077e-06
"16","Age.at.Gluten.Introduction..months.6",1.79535215400129,0.497076577846278,3.61182206930802,0.00030405316393486
"17","Age.at.Gluten.Introduction..months.7",1.10505054479633,0.505736805931572,2.18503089321493,0.0288865815358536
"18","Age.at.Gluten.Introduction..months.8",1.2597565181556,0.548409315103977,2.29710999332086,0.0216124958386236
"19","Age.at.Gluten.Introduction..months.9",2.87450673943608,0.535152470688672,5.37137899361084,7.81367932232659e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.07340600658455,0.83731080016599,2.47626807891826,0.013276384932878
