"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.458797418120542,1.58217015131179,0.53586539706621,0.85618034049669,0.391898035119626,0.553507785664885,4.5225423246667
"CountryUSA","CountryUSA",-0.724840398275171,0.484401874160803,0.309386620319452,-2.3428304608866,0.0191380773854965,0.264152938413533,0.888292884795246
"SexMale","SexMale",0.438976426229845,1.5511187212405,0.266491392100476,1.64724429847376,0.0995078418845388,0.92004094501617,2.61506762325721
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.203938133820765,0.8155128222891,0.327224898215929,-0.623235380109097,0.533129855135103,0.429434028880195,1.54869227539366
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.706126310131227,0.493552368052171,0.343821722613591,-2.0537571179725,0.0399992052384265,0.251577420064109,0.968266309225333
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.993710114251734,0.370200653252167,0.26141150283484,-3.80132512714851,0.000143924299276792,0.221780473390926,0.617946754161535
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.27634523689842,0.758551005754235,0.258631693003923,-1.0684894557537,0.285299784205965,0.456916763953082,1.25930951482849
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0842499282548456,0.919201492959184,0.305334866555332,-0.275926327069424,0.782604652496162,0.505253361323611,1.67229245629347
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.58191169994481,1.78945606602531,0.691657774536609,0.841328936604051,0.400163684171735,0.461297260183349,6.94162590725564
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.24928627358514,9.48096660465202,0.612122627026333,3.67456809187415,0.000238252101025387,2.85635966734167,31.4696810721262
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0614695917068,1.05826000985701e-07,10994.3590691874,-0.00146088275729691,0.998834384617415,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4707530518591,1.91045722666571e-07,1662.37915836275,-0.00930639257237563,0.992574680233068,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.31581031579595,10.1331306286866,0.662809798929153,3.4939289062072,0.000475967749799152,2.76413288356981,37.1473951011417
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.50317381253504,12.2212203353628,0.702905671590176,3.56118027454827,0.000369191482156946,3.08176970551171,48.4650836233353
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.08563011959065,21.8812503034887,0.665473779787607,4.63674184214359,3.53944018553947e-06,5.93772152745071,80.6351582219599
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.83612081543448,6.27216014117174,0.495437148571633,3.70606205192344,0.000210506745545388,2.37520048255388,16.5628093819702
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.1074482806923,3.02662543390241,0.505373296739671,2.1913470455143,0.0284266880318201,1.12404616234967,8.14954209531417
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.27231935479318,3.56912102785974,0.547510251972478,2.32382745384123,0.0201347436930076,1.22044919031204,10.4376528024519
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.87119845955297,17.6581681239176,0.535089207239766,5.36583138046069,8.05771928981785e-08,6.18695402023113,50.398128137518
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.09648711201338,8.13753340026387,0.84224265062727,2.48917234297265,0.0128040880696966,1.56161704318253,42.4044103062916
