"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.241370981890499,0.289787796615098,0.832923210396927,0.404888038492447
"2","CountryUSA",-0.711264372835023,0.309254905882016,-2.29992915005325,0.0214522343086423
"3","SexMale",0.380386689428636,0.265459329986385,1.4329377289099,0.151875633898235
"4","Delivery.ModeVaginal",-0.206328099150123,0.326744227955923,-0.631466699322858,0.52773541635725
"5","HLA.CategoryLow/No Risk",-0.674639390270912,0.346699573834813,-1.94589045151912,0.0516679001710671
"6","HLA.CategoryStandard Risk",-0.997372019068168,0.262446631941491,-3.80028507773161,0.000144529722845273
"7","feeding_first_yearBreastmilk_and_formula",-0.280978848314072,0.259453324282212,-1.08296491899424,0.278823994550906
"8","feeding_first_yearFormula",-0.0700789032603588,0.306996934240021,-0.228272322763877,0.819434539800684
"9","feeding_first_yearUnknown",0.662577785009173,0.698685828335754,0.948320057653682,0.34296654286905
"10","Age.at.Gluten.Introduction..months.11",2.22687619891629,0.610386919723842,3.64830262077666,0.00026397859244166
"11","Age.at.Gluten.Introduction..months.12",-16.0652387795563,10988.5702473263,-0.00146199536590898,0.998833496885129
"12","Age.at.Gluten.Introduction..months.15",-15.4747922731181,1665.41001356421,-0.00929188136679922,0.992586257999358
"13","Age.at.Gluten.Introduction..months.36",2.28801324850213,0.661669702729371,3.45793866496249,0.000544325292316775
"14","Age.at.Gluten.Introduction..months.4",2.52348304258943,0.703956921179921,3.58471231216785,0.000337449963211891
"15","Age.at.Gluten.Introduction..months.5",3.17874517345957,0.664803139645185,4.78148339545465,1.74006378270481e-06
"16","Age.at.Gluten.Introduction..months.6",1.85986975428397,0.495560186248454,3.75306533069933,0.000174685305592762
"17","Age.at.Gluten.Introduction..months.7",1.10743082698935,0.505695671543944,2.1899155743379,0.0285303602519826
"18","Age.at.Gluten.Introduction..months.8",1.29070341595633,0.548370715248102,2.35370595122384,0.0185873080710957
"19","Age.at.Gluten.Introduction..months.9",2.84293646613849,0.536443238464807,5.2996035037638,1.16054430823211e-07
"20","Age.at.Gluten.Introduction..months.Unknown",1.99111744132061,0.849991768474581,2.34251379268522,0.0191543259872912
