"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.379454096106094,1.4614865404317,0.258653981560234,1.46703365560885,0.142366900173492,0.88029483116244,2.42639492162243
"CountryUSA","CountryUSA",-0.73431329934809,0.479834848769316,0.309647122926251,-2.37145203355557,0.0177183463490478,0.261528894019162,0.880367283917023
"SexMale","SexMale",0.348306410107132,1.41666626410519,0.26489685840621,1.31487557913207,0.188551721354314,0.842921123331809,2.38093843931793
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.21251106421481,0.808551370285917,0.326913829107639,-0.650052231791145,0.515658483334795,0.42602791984682,1.53453632481715
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.700594331166446,0.496290255355493,0.346967788708911,-2.01919127355713,0.0434673429751991,0.251417920932149,0.979659749979762
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.03623521809666,0.354787869755045,0.264246305961028,-3.92147475563759,8.80086699853652e-05,0.211369295263447,0.595519005579477
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.26156613093473,0.76984496317391,0.260323479647852,-1.00477348907812,0.315005932213394,0.462184657880232,1.28230406877292
"feeding_first_yearFormula","feeding_first_yearFormula",-0.122563407250021,0.884649809953407,0.309129701094745,-0.396478911007184,0.691751762482579,0.482658223335341,1.6214481560938
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.548195645427003,1.73012843463419,0.685739034215102,0.799423130483549,0.42404510273452,0.451207406224713,6.63407638933789
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.21844136092327,9.19299113833517,0.615201479510651,3.60604035394694,0.000310904809439835,2.75293776001559,30.698509532969
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0750487794955,1.04398682689363e-07,11037.3120168644,-0.0014564278653112,0.998837939103169,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4760113231472,1.90043788956555e-07,1669.43006139271,-0.00927023640046144,0.992603527440023,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.27299707250535,9.70845419591942,0.663766910635298,3.42439045406744,0.000616180208707533,2.64332563213062,35.657386183742
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.47677944323258,11.9028687588031,0.703226384408471,3.52202291914283,0.000428267116122207,2.99960633026822,47.2322928711186
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.21674169718459,24.9467036986939,0.664133730015346,4.84351502085319,1.27562072917568e-06,6.78736981819445,91.6906021183887
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.80566441695341,6.08401242692561,0.496652385909906,3.63567047734059,0.000277258565106549,2.29846987024118,16.1042821096894
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.11276019816799,3.04274539448328,0.50659935350228,2.19652905293923,0.0280540980293197,1.12732064966909,8.21265851766915
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.21851700784449,3.38216828360555,0.551300866957917,2.21025773924187,0.0270872797990927,1.14796081491012,9.96468010933193
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.87725246771087,17.7653950666886,0.537116985635884,5.35684505360509,8.46876860100538e-08,6.19983401786019,50.9060824800039
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.14843806898568,8.57145990707635,0.839044522109515,2.56057695673181,0.0104498516610811,1.65523174170434,44.3864886634954
