"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.365369791280102,1.44104679617241,0.179898779076762,2.03097426872586,0.0422576048922654,1.01285660800611,2.05025652431368
"CountryUSA","CountryUSA",-0.573555243715474,0.563518427758189,0.317339925501126,-1.80738444054824,0.0707023582650797,0.302543542853024,1.04961095989191
"SexMale","SexMale",0.31328863799182,1.36791630666697,0.267763941013141,1.17001802709665,0.241993714326577,0.80935386858062,2.31196154696458
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.294667462211355,0.74477921352381,0.328151836633119,-0.897960728285668,0.36920648669217,0.391475148399467,1.41693816111956
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.592447494147674,0.55297223086885,0.348619273043618,-1.6994111913989,0.089241734771428,0.279227417240498,1.09508690491058
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.00630296812045,0.365568000901027,0.261855941702216,-3.84296404190371,0.000121557284156971,0.21881444684313,0.610745612142241
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.267048971121801,0.765635576514224,0.258400645042879,-1.03346867062769,0.301384624614641,0.461393081015006,1.27049550620635
"feeding_first_yearFormula","feeding_first_yearFormula",-0.110643642008598,0.895257724335369,0.307017086965816,-0.360382684566729,0.718560973647047,0.490472495923186,1.63411078020503
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.678767374345063,1.97144617880343,0.691573906841532,0.981482047876912,0.326355082969258,0.508295363723969,7.64634170070704
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.26977872092766,9.67725920219555,0.611002003108042,3.71484661160153,0.000203326993114475,2.92190792053954,32.0507518420313
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-15.9744384847715,1.15448824306407e-07,11046.4300066981,-0.00144611774800414,0.998846165377925,0,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.5952725415912,1.68678290685971e-07,1670.1384638383,-0.00933771233898196,0.992549691760627,0,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.13813733082435,8.48362072380834,0.666320569804295,3.20887186696389,0.00133256863513486,2.29830756748922,31.3151388454312
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.35303430423596,10.5174344525508,0.705492800424244,3.33530590648264,0.000852056113864683,2.63871966476593,41.9204923284322
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.18360273275487,24.1335438259403,0.66735953093575,4.77044619156174,1.83818285739515e-06,6.52474640540371,89.2644558746719
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.81861337257173,6.16330631235809,0.499293587113534,3.64237278328632,0.000270136489037003,2.31640386317445,16.3988436143841
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.1226399080009,3.07295582548941,0.507970901989135,2.21004766927559,0.0271018541298562,1.13545702480032,8.31652568010659
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.24929641452536,3.4878880665695,0.55145895612843,2.26543861631364,0.0234857768748797,1.18347700669975,10.279340533064
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.79188627371565,16.311759243891,0.537782976813456,5.19147387345451,2.08635867603382e-07,5.68511302153876,46.8017941987452
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.06605949720477,7.89365677605844,0.843858220820218,2.4483490783518,0.0143512539205867,1.51002736977155,41.2640317291997
