"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-17.9047984722133,7210.853449013,-0.002483034580971,0.998018827079711
"2","CountryUSA",0.273921686330362,0.558950859130859,0.490063986584253,0.624088621054513
"3","SexMale",0.672570434660663,0.324502054225802,2.0726230416793,0.0382073749454502
"4","Delivery.ModeVaginal",-1.11228499641562,0.583935638030607,-1.90480752325194,0.0568050955910329
"5","HLA.CategoryLow/No Risk",-0.372426458752683,0.421942091501334,-0.882648273907761,0.377426337656731
"6","HLA.CategoryStandard Risk",-0.524661782210832,0.292975164638734,-1.79080633970388,0.0733243775685149
"7","feeding_first_yearBreastmilk_and_formula",-0.107116914359043,0.328295009219582,-0.326282493948599,0.744210631929326
"8","feeding_first_yearFormula",-0.0433886431072709,0.33840601786194,-0.128214750380037,0.897979027298559
"9","Age.at.Gluten.Introduction..months.11",19.5703709142239,2342.79925950072,0.00835341347956314,0.99333501786795
"10","Age.at.Gluten.Introduction..months.15",-0.414750465609143,3739.77909617828,-0.000110902396891031,0.999911512689946
"11","Age.at.Gluten.Introduction..months.36",19.4602795365433,2342.79924828733,0.00830642213615593,0.993372510234568
"12","Age.at.Gluten.Introduction..months.4",19.6331701797309,2342.79931320215,0.00838021851427649,0.993313631293182
"13","Age.at.Gluten.Introduction..months.5",19.9527576297603,2342.79929779586,0.00851663121486,0.993204793589837
"14","Age.at.Gluten.Introduction..months.6",19.2782668361665,2342.799226001,0.00822873194689977,0.993434495918601
"15","Age.at.Gluten.Introduction..months.7",18.4241205100241,2342.79922027732,0.0078641483019801,0.993725382161497
"16","Age.at.Gluten.Introduction..months.8",18.6000484116098,2342.79924427509,0.00793924125469192,0.993665468524353
"17","Age.at.Gluten.Introduction..months.9",20.0589860659829,2342.79923067953,0.00856197398535288,0.993168616612351
"18","Age.at.Solid.Introduction..months.4",0.404273833767022,33764.7565468057,1.19732488876858e-05,0.99999044672957
"19","Age.at.Solid.Introduction..months.5",0.413679285562011,33764.756544906,1.22518071472493e-05,0.999990224472236
"20","Age.at.Solid.Introduction..months.6",0.65990702075311,33764.7565457819,1.95442552609061e-05,0.999984405940476
"21","Age.at.Solid.Introduction..months.7",0.22396647314924,33764.7565452361,6.63314343312924e-06,0.999994707517265
"22","Age.at.Solid.Introduction..months.8",20.886277245545,33683.3862352887,0.000620076529706603,0.999505250542136
