"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.0734417384387755,0.621124625007644,0.118239940073011,0.905877544304328
"2","CountryUSA",0.412474635577109,0.561953023883921,0.734001986013535,0.462947527673289
"3","SexMale",0.728055376133023,0.329295644514466,2.21094748218281,0.0270394740573717
"4","Delivery.ModeVaginal",-1.21411843893904,0.582482200952671,-2.0843871914941,0.037124961966552
"5","HLA.CategoryLow/No Risk",-0.38076148316859,0.426627094492222,-0.892492502431843,0.372129009668455
"6","HLA.CategoryStandard Risk",-0.512112930443858,0.293599518539352,-1.74425671060907,0.0811143364919558
"7","feeding_first_yearBreastmilk_and_formula",-0.180195358341355,0.327135561033469,-0.550827790693532,0.581751731407604
"8","feeding_first_yearFormula",-0.0803490143815761,0.340649325924861,-0.235870169898117,0.813533416190036
"9","Age.at.Gluten.Introduction..months.11",19.6664270471573,2326.94507364856,0.00845160776241321,0.993256672931447
"10","Age.at.Gluten.Introduction..months.15",-0.411310082330055,3727.46768837984,-0.00011034571368983,0.999911956858875
"11","Age.at.Gluten.Introduction..months.36",19.5440696440479,2326.94506198905,0.00839902495477989,0.993298626452734
"12","Age.at.Gluten.Introduction..months.4",19.7446068569578,2326.94512948053,0.00848520517600929,0.993229867035052
"13","Age.at.Gluten.Introduction..months.5",19.9732764356563,2326.94511725649,0.00858347551368343,0.993151461505252
"14","Age.at.Gluten.Introduction..months.6",19.313751087019,2326.94503958027,0.0083000460941281,0.993377597404694
"15","Age.at.Gluten.Introduction..months.7",18.4538135363361,2326.94503461701,0.00793048965996458,0.993672451066848
"16","Age.at.Gluten.Introduction..months.8",18.6399793461203,2326.94505942811,0.00801049396099684,0.993608618897894
"17","Age.at.Gluten.Introduction..months.9",20.1578350347761,2326.94504586706,0.00866278946749471,0.993088180478849
"18","Age.at.Solid.Introduction..months.4",0.391202255319181,33760.2678769143,1.15876525845546e-05,0.999990754390907
"19","Age.at.Solid.Introduction..months.5",0.413943727190763,33760.2678748168,1.22612690374871e-05,0.999990216922739
"20","Age.at.Solid.Introduction..months.6",0.630073265406275,33760.2678757251,1.86631595378815e-05,0.99998510895315
"21","Age.at.Solid.Introduction..months.7",0.11393353227784,33760.2678752073,3.3747816426987e-06,0.999997307313831
"22","Age.at.Solid.Introduction..months.8",21.0236665788089,33679.9730130503,0.000624218628995419,0.999501945625703
