"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.0734417384387755,1.07620583341326,1.07620583341326,0.621124625007644,0.118239940073011,1.375148003361,37.9314230387176
"CountryUSA","CountryUSA",0.412474635577109,1.51055122756162,1.51055122756162,0.561953023883921,0.734001986013535,1.65220624033285,94.0982252152365
"SexMale","SexMale",0.728055376133023,2.07104927737949,2.07104927737949,0.329295644514466,2.21094748218281,2.9628722902626,51.883579815437
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21411843893904,0.29697169761701,0.29697169761701,0.582482200952671,-2.0843871914941,1.09946222154688,2.53473639758099
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.38076148316859,0.683340858480057,0.683340858480057,0.426627094492222,-0.892492502431843,1.34465351396888,4.83955756950044
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.512112930443858,0.599228112927566,0.599228112927566,0.293599518539352,-1.74425671060907,1.40079332332483,2.90194153935913
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.180195358341355,0.835107050346144,0.835107050346144,0.327135561033469,-0.550827790693532,1.55244172004433,4.88234117639327
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0803490143815761,0.922794221722219,0.922794221722219,0.340649325924861,-0.235870169898117,1.60529536947343,6.04447552705937
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6664270471573,347552762.91065,347552762.91065,2326.94507364856,0.00845160776241321,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.411310082330055,0.662781382938332,0.662781382938332,3727.46768837984,-0.00011034571368983,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5440696440479,307525830.727247,307525830.727247,2326.94506198905,0.00839902495477989,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7446068569578,375814736.163847,375814736.163847,2326.94512948053,0.00848520517600929,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9732764356563,472371559.243607,472371559.243607,2326.94511725649,0.00858347551368343,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.313751087019,244261782.447881,244261782.447881,2326.94503958027,0.0083000460941281,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4538135363361,103368779.599424,103368779.599424,2326.94503461701,0.00793048965996458,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6399793461203,124520304.150762,124520304.150762,2326.94505942811,0.00801049396099684,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1578350347761,568115348.706376,568115348.706376,2326.94504586706,0.00866278946749471,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.391202255319181,1.47875756975352,1.47875756975352,33760.2678769143,1.15876525845546e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.413943727190763,1.51277199655917,1.51277199655917,33760.2678748168,1.22612690374871e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.630073265406275,1.87774814820572,1.87774814820572,33760.2678757251,1.86631595378815e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.11393353227784,1.12067763351897,1.12067763351897,33760.2678752073,3.3747816426987e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0236665788089,1350399860.91282,1350399860.91282,33679.9730130503,0.000624218628995419,1,Inf
