"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.456898984242266,0.633244304485247,0.633244304485247,0.778016042043448,-0.587261649569882,1.14777279099666,18.3477928832929
"CountryUSA","CountryUSA",0.375495059932966,1.45571190089762,1.45571190089762,0.560435533164915,0.670005803901216,1.62470146015902,78.756026860401
"SexMale","SexMale",0.75902929268118,2.13620158721369,2.13620158721369,0.330943601125528,2.29353065023692,3.05480408734157,59.5258094659208
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.21086529219062,0.29793936325525,0.29793936325525,0.580983787758631,-2.08416365086882,1.10010973342697,2.53548233825673
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.37560847511461,0.686871207574155,0.686871207574155,0.421380755965123,-0.891375483567878,1.35086197055394,4.80067004444585
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.516290013311132,0.596730307844688,0.596730307844688,0.295099235638464,-1.74954710470229,1.39744940638211,2.89811989115613
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.177553624760228,0.837316097256883,0.837316097256883,0.326789574287597,-0.54332707873957,1.55471397484375,4.89758127064778
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0390310211661886,0.961720874980534,0.961720874980534,0.344548816017316,-0.113281541981056,1.63152943664498,6.61555987778143
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6906046373584,356058156.830765,356058156.830765,2325.57402042515,0.00846698684471828,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.353173620022594,0.702455222497653,0.702455222497653,3718.85121393739,-9.49684727097932e-05,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5763154235666,317603854.489845,317603854.489845,2325.57400903809,0.00841784236815745,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7576338887219,380742514.141134,380742514.141134,2325.57407681338,0.00849580930820953,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9955031532872,482988379.966572,482988379.966572,2325.57406390371,0.00859809346158719,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3464133628668,252371650.56926,252371650.56926,2325.57398740503,0.00831898424545689,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4523952166494,103222273.545101,103222273.545101,2325.57398163953,0.00793455523768822,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6688049313953,128161908.330825,128161908.330825,2325.57400604443,0.00802761162744033,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1767546759505,578966210.785238,578966210.785238,2325.57399299819,0.00867603212656248,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.450386613368391,1.56891863316973,1.56891863316973,33796.1853153558,1.33265517739882e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.480531732403147,1.61693394982285,1.61693394982285,33796.1853133511,1.42185198698539e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.712238892382571,2.03855024782064,2.03855024782064,33796.1853143544,2.10745350623953e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.196833125557708,1.21754084730263,1.21754084730263,33796.185313798,5.82412256679591e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0903026051984,1443450991.30929,1443450991.30929,33716.0656853974,0.000625526797877035,1,Inf
