"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",2.18879919258027,8.92449008392968,8.92449008392968,1.02342701943392,2.13869592166028,3.32249915919629,6.42420044158515e+28
"CountryUSA","CountryUSA",0.395791235748901,1.48555915353279,1.48555915353279,0.188871593889035,2.09555723864667,2.78971784571725,8.59418526046987
"SexMale","SexMale",0.712686022416247,2.03946194867082,2.03946194867082,0.214033427214555,3.32978839656585,3.82169905955913,22.251830583978
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.20326053480029,0.300213756974947,0.300213756974947,0.20176250978352,-5.96374686303874,1.22404087709899,1.56178892282176
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.366994403416662,0.692813522422158,0.692813522422158,0.234554214366627,-1.56464638423857,1.54880750236941,2.99564099204569
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.512221646123899,0.599162970976809,0.599162970976809,0.17180950818158,-2.98133468598577,1.53396943637799,2.31417481594365
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.174579222408087,0.839810319797865,0.839810319797865,0.168269486190606,-1.03749780403046,1.82920061062316,3.21529230605253
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0769140932619747,0.925969397200206,0.925969397200206,0.268170658920956,-0.286810248263011,1.72880593562805,4.7887058648098
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",18.6778013630687,129320110.212657,129320110.212657,0.328528400996027,56.8529274986323,Inf,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.401781336967317,0.669127043043334,0.669127043043334,1765.3807150164,-0.000227589059713721,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",18.5314441017238,111713051.531789,111713051.531789,0.357745152767878,51.800685371544,Inf,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",18.75996934376,140394846.600821,140394846.600821,0.456587514925211,41.0873463038797,Inf,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",18.9255055384048,165669523.283617,165669523.283617,0.315462824589727,59.9928234428835,Inf,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",18.3278539720026,91135135.8241865,91135135.8241865,0.199987326841937,91.6450770227468,Inf,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",17.463370570572,38392418.7842071,38392418.7842071,0.217832509221291,80.1687986471814,Inf,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",17.6531305212992,46414873.7737905,46414873.7737905,0.302291780149185,58.3976531303205,Inf,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",19.1606592361209,209589043.595128,209589043.595128,0.206950749738914,92.5855995220782,Inf,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.293492157010002,1.34110266111417,1.34110266111417,0.209588996422101,1.40032235480018,2.43348173970576,7.55634873084262
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.334917665980973,1.3978252919103,1.3978252919103,0.193373334711315,1.73197440319766,2.60353621861119,7.70589122045024
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.546653801300653,1.72746290171562,1.72746290171562,0.172048340089954,3.17732679672957,3.43148759469859,11.2484400210864
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0451063950768018,1.04613915804389,1.04613915804389,0.274075384009116,0.164576600849719,1.84293361930672,5.99018861607781
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",19.938938537549,456426637.010044,456426637.010044,0.458051308199371,43.5299237893899,Inf,Inf
