"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",-0.178151179440852,0.836815904564931,0.836815904564931,0.371695049893082,-0.479293925200501,1.49761054219262,5.66254347298208
"CountryUSA","CountryUSA",0.421148455984167,1.52371046555567,1.52371046555567,0.559818477254851,0.752294668888616,1.66297649787851,96.0424223258452
"SexMale","SexMale",0.72224280189557,2.05904606827234,2.05904606827234,0.323798842976985,2.23052928557532,2.97892037607764,48.6204378622535
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.2207724798519,0.295002195631345,0.295002195631345,0.581818629045047,-2.09820108691875,1.09890574277748,2.51612617579633
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.365731040087986,0.6936893507482,0.6936893507482,0.423947483363414,-0.862680059299883,1.35283724036612,4.91512855212131
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.505215713025666,0.603375405453543,0.603375405453543,0.294958000680905,-1.71283949531589,1.4027982615401,2.93179147190388
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.184949580360501,0.831146188886913,0.831146188886913,0.326052531944495,-0.567238595748692,1.5506482909159,4.82957294550805
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0843612743364365,0.919099149172646,0.919099149172646,0.339987705864958,-0.248130367307883,1.60323625006484,5.98716702281085
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6749582935,350530505.013309,350530505.013309,2323.33344099673,0.00846841781137505,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.417373621308484,0.65877474167728,0.65877474167728,3723.02857887325,-0.000112105940759337,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5791756912345,318513586.944967,318513586.944967,2323.33342914208,0.00842719148515173,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7613790298042,382171122.071915,382171122.071915,2323.33349735381,0.00850561447691931,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.0016544350082,485968534.046357,485968534.046357,2323.33348344897,0.00860903291649543,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3299762975911,248257307.768714,248257307.768714,2323.33340659414,0.00831993214694384,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4650597362939,104537847.025557,104537847.025557,2323.33340168316,0.00794765818927096,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6734416313328,128757536.450495,128757536.450495,2323.33342721156,0.00803734901440491,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1626022191412,570830125.09273,570830125.09273,2323.33341258256,0.00867830768926487,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.369838809519447,1.44750127243185,1.44750127243185,33777.8192504416,1.09491618383449e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.401717710672979,1.49438942294403,1.49438942294403,33777.8192483913,1.18929439381174e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.625034960599658,1.86831127357294,1.86831127357294,33777.8192492755,1.85043017723255e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.106799487208913,1.11271111929714,1.11271111929714,33777.819248823,3.1618230419844e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.0985623615613,1455422919.35976,1455422919.35976,33697.8257463577,0.000626110495091563,1,Inf
