"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.162128664035981,1.17601154197867,1.17601154197867,0.375976115680933,0.43122064746679,1.75564050991827,11.6722508167199
"CountryUSA","CountryUSA",0.391496068373357,1.47919211186542,1.47919211186542,0.559761668884993,0.699397779689328,1.63853734289291,84.0092432877438
"SexMale","SexMale",0.733278364777937,2.08189464219216,2.08189464219216,0.324960354708914,2.25651638469799,3.00766481311611,51.2181712072326
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18895862968952,0.304538236072893,0.304538236072893,0.583240649822188,-2.03853868905056,1.1019624982449,2.59920669224729
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.368445082175784,0.691809201211002,0.691809201211002,0.423361522106766,-0.870284763580539,1.3521978320535,4.88504958026067
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.505946823452533,0.602934432622861,0.602934432622861,0.293437077868688,-1.72420890750194,1.40386810595075,2.92013052147003
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.191432293590169,0.825775533510483,0.825775533510483,0.32776391025888,-0.584055436240581,1.54400400243123,4.80587513727313
"feeding_first_yearFormula","feeding_first_yearFormula",-0.100737229885631,0.904170590682476,0.904170590682476,0.342986622039402,-0.293706003128186,1.58666759318481,5.87630917778467
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6671934654691,347819235.814264,347819235.814264,2329.53217568317,0.00844255068496809,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.410171968869393,0.66353613276573,0.66353613276573,3729.37098092886,-0.000109984222799748,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.5217776083096,300746299.441556,300746299.441556,2329.53216334714,0.00838012795679118,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6930208533153,356919510.419976,356919510.419976,2329.53223487624,0.00845363741204531,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9651386618735,468543105.027966,468543105.027966,2329.53221775474,0.0085704496850086,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2881893712738,238097157.059333,238097157.059333,2329.53214258366,0.00827985543478335,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.438936105001,101842300.875473,101842300.875473,2329.53213716427,0.00791529587028861,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6031684409468,120019938.480299,120019938.480299,2329.53216333951,0.0079857959180431,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1443198940891,560488842.580907,560488842.580907,2329.53214743442,0.00864736720473016,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.390091666440714,1.47711618966055,1.47711618966055,33799.8867246593,1.15412122418776e-05,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.419970115270064,1.52191607288819,1.52191607288819,33799.8867226308,1.24251929811608e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.631704418613157,1.88081354250359,1.88081354250359,33799.8867235141,1.86895424762974e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.111576721867321,1.11803951879471,1.11803951879471,33799.8867230311,3.30109750904262e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9424376525796,1245045176.53665,1245045176.53665,33719.5070337846,0.000621077812068744,1,Inf
