"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.378228064576342,1.45969580982323,1.45969580982323,0.38141603551891,0.991641749046469,1.99609898817654,21.8161480879653
"CountryUSA","CountryUSA",0.436500619827108,1.54728320154035,1.54728320154035,0.560049279587837,0.779396806203101,1.67572176844544,103.286580933164
"SexMale","SexMale",0.68775055791442,1.98923582592595,1.98923582592595,0.324032872574766,2.12247156422604,2.86930224146,42.6949335359553
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.18604140343331,0.305427940114216,0.305427940114216,0.582813487588727,-2.03502737786717,1.10236502460358,2.60438139951156
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.39159687529786,0.675976561891858,0.675976561891858,0.425494144545267,-0.92033434611977,1.34124214197717,4.74157905002606
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.517107038347573,0.59624296335661,0.59624296335661,0.294111654645483,-1.75819975230456,1.39797291473548,2.88965538752121
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.162463143903429,0.850047419077832,0.850047419077832,0.326068191313912,-0.498248980523901,1.56617331012759,5.00591046190814
"feeding_first_yearFormula","feeding_first_yearFormula",-0.108970794340059,0.896756607484314,0.896756607484314,0.34233186957363,-0.318319163435705,1.58160252858396,5.77856361686929
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6674117293141,347895160.463548,347895160.463548,2333.98974078392,0.00842652021371286,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.408798984679319,0.664447783083085,0.664447783083085,3722.09691067368,-0.000109830290422322,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4832112828865,289368431.28571,289368431.28571,2333.98972760867,0.00834759941417923,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7492690916825,377570963.467612,377570963.467612,2333.98979650279,0.00846159187211292,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9290791519582,451948662.11679,451948662.11679,2333.98978296692,0.00853863170155991,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2900337996995,238536715.466299,238536715.466299,2333.98970593914,0.00826483242433057,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4320559575641,101144015.737023,101144015.737023,2333.98970092617,0.00789723105901021,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.623597227357,122497015.863827,122497015.863827,2333.98972539803,0.00797929700576598,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.135397262624,555510052.185645,555510052.185645,2333.98971158288,0.00862702914357252,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.303703308885028,1.35486701944563,1.35486701944563,33815.1921248452,8.98126817566968e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.343181861726263,1.40942505909471,1.40942505909471,33815.1921227069,1.01487479497659e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.504821758684543,1.65669020350161,1.65669020350161,33815.1921237873,1.49288449060571e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0271566128150911,1.02752871432729,1.02752871432729,33815.1921232089,8.03089117936794e-07,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9264620832319,1225312907.7608,1225312907.7608,33734.5478255684,0.000620327333018858,1,Inf
