"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.369113192663499,1.44645132208647,1.44645132208647,0.349592329215442,1.05583893528747,2.07301618339661,17.6364886134388
"CountryUSA","CountryUSA",0.387854472223298,1.47381528761883,1.47381528761883,0.559284321290992,0.693483542195527,1.63635228247463,82.3264157898916
"SexMale","SexMale",0.717329277125677,2.04895370924631,2.04895370924631,0.321205644341411,2.23323995005276,2.97947017239178,46.7779569097798
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.1663047922692,0.311515933160686,0.311515933160686,0.582637090684376,-2.00176887279736,1.10454652004946,2.65365294709874
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.369424972033956,0.691131636414597,0.691131636414597,0.424939306380758,-0.869359380238035,1.35054073068908,4.90146332089709
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.50087893945244,0.605997790201021,0.605997790201021,0.293194345953003,-1.70835129110139,1.40651801166559,2.93456929940382
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.175919785227948,0.838685255585524,0.838685255585524,0.325648541212386,-0.540213644357196,1.55737668863829,4.89289653418212
"feeding_first_yearFormula","feeding_first_yearFormula",-0.101986477995051,0.903041762521501,0.903041762521501,0.343628798499753,-0.296792580948725,1.58483401814087,5.8764069444584
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6810033343701,352655893.801114,352655893.801114,2334.24456395305,0.00843142301295124,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.39230357314156,0.67549901947215,0.67549901947215,3728.40356219235,-0.000105220254888631,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4678637600228,284961248.844836,284961248.844836,2334.24455194773,0.00834011318299043,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.7677539210448,384615203.509982,384615203.509982,2334.24461934497,0.00846858712116985,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",19.9768230125667,474049835.617742,474049835.617742,2334.24460539305,0.00855815323141893,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.2633308829285,232251381.257625,232251381.257625,2334.24453092956,0.00825249052859825,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4524074585178,103223537.18632,103223537.18632,2334.24452480952,0.00790508760431751,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6264285012365,122844329.903722,122844329.903722,2334.24454949357,0.00797963885372576,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.1456417331191,561230208.48417,561230208.48417,2334.2445350532,0.00863047612646973,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.337371159161031,1.40125905736849,1.40125905736849,33832.4068174596,9.97183443026365e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.387564440275484,1.47338789608184,1.47338789608184,33832.4068153825,1.1455420313144e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.57414146996671,1.77560546173441,1.77560546173441,33832.4068163127,1.69701633432086e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0762039455516718,1.0791826462153,1.0791826462153,33832.4068158085,2.25239504734451e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.9618483204737,1269448410.30076,1269448410.30076,33751.7796690657,0.000621059053063377,1,Inf
