"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.516351271731843,0.197023968748669,2.62075358146155,0.00877356533265419
"2","CountryUSA",0.607897309037084,0.561153936561545,1.08329866268418,0.278675878704586
"3","SexMale",0.570365757682167,0.327750941860733,1.74024139928948,0.0818166390408294
"4","Delivery.ModeVaginal",-1.26764198619444,0.576251136680208,-2.19980821816222,0.0278205046630219
"5","HLA.CategoryLow/No Risk",-0.0746329831901765,0.437031797955214,-0.170772432439401,0.864402706347727
"6","HLA.CategoryStandard Risk",-0.45641096668345,0.293295249522397,-1.55614851391788,0.11967278104098
"7","feeding_first_yearBreastmilk_and_formula",-0.174652195223037,0.324583538744923,-0.538080877109077,0.590521213881863
"8","feeding_first_yearFormula",-0.109721197610782,0.339411670303641,-0.323268783046335,0.746491693369263
"9","Age.at.Gluten.Introduction..months.11",19.8897174945725,2326.07839121219,0.00855075115684617,0.993177570806164
"10","Age.at.Gluten.Introduction..months.15",-0.525234529548292,3727.71127576491,-0.000140900002895347,0.999887578063445
"11","Age.at.Gluten.Introduction..months.36",19.3001706976504,2326.07837228562,0.00829730026623563,0.993379788182938
"12","Age.at.Gluten.Introduction..months.4",19.8365591202338,2326.07844866046,0.00852789772918332,0.993195804538443
"13","Age.at.Gluten.Introduction..months.5",20.2711839415618,2326.07843934507,0.00871474650152786,0.993046726328387
"14","Age.at.Gluten.Introduction..months.6",19.4227061029091,2326.07835672264,0.00834997928886408,0.993337757860127
"15","Age.at.Gluten.Introduction..months.7",18.6219720217627,2326.07835293113,0.00800573720928055,0.993612414114952
"16","Age.at.Gluten.Introduction..months.8",18.7384195003337,2326.07837552458,0.00805579884904254,0.993572471993521
"17","Age.at.Gluten.Introduction..months.9",20.2079664063019,2326.07836220746,0.00868756905813116,0.993068409970023
"18","Age.at.Solid.Introduction..months.4",-0.32770206712172,34488.6682072055,-9.50173155869369e-06,0.999992418715088
"19","Age.at.Solid.Introduction..months.5",-0.156442559098937,34488.6682045889,-4.53605683382466e-06,0.999996380750285
"20","Age.at.Solid.Introduction..months.6",0.0601415973121282,34488.6682054447,1.74380747188822e-06,0.999998608642941
"21","Age.at.Solid.Introduction..months.7",-0.522545421990588,34488.6682053779,-1.51512206525013e-05,0.999987911074965
"22","Age.at.Solid.Introduction..months.8",20.5700097207107,34410.1354217528,0.000597789269603022,0.999523033199578
