"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.0949271400699788,1.09957873697761,1.09957873697761,0.607581280532908,0.156237762932259,1.39687167471917,37.2418329817868
"CountryUSA","CountryUSA",-0.730438479226469,0.481697729329112,0.481697729329112,0.309289567177403,-2.36166543182332,1.30047332173609,2.41854478276579
"SexMale","SexMale",0.404830920883625,1.49904902074451,1.49904902074451,0.264571900716942,1.53013573923235,2.44124315276153,12.4011843040205
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.215533009658373,0.806111660348409,0.806111660348409,0.328951962795113,-0.655211198094043,1.52660926461722,4.64610730404331
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.71099962780136,0.491152981810121,0.491152981810121,0.34480027221477,-2.06206225776554,1.28386452027624,2.625861213516
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.01250364718481,0.363308244304285,0.363308244304285,0.261821341529595,-3.86715476007277,1.24293633728873,1.8347883442719
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.281242979987005,0.754844900991422,0.754844900991422,0.260102745383535,-1.08127647623364,1.57361467216073,3.51407083458907
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0754159942711533,0.927357630615588,0.927357630615588,0.306965576521167,-0.245682252472218,1.66214664088631,5.43321881603437
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.616947033129785,1.85326145047967,1.85326145047967,0.691815745806042,0.891779403504286,1.61219647360718,1327.91436354773
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.2376565446498,9.37134420791297,9.37134420791297,0.612684219369062,3.65221834333211,16.7806671458508,33416609368476.3
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0853584092205,1.03327900097381e-07,1.03327900097381e-07,10997.081423866,-0.00146269339920606,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4726690684749,1.90680026339565e-07,1.90680026339565e-07,1666.07838326037,-0.00928687943132436,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.31624884951198,10.137575322619,10.137575322619,0.662720874130499,3.4950594434662,15.8921825889381,13714257582922590
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.49382410127574,12.1074879649149,12.1074879649149,0.704174590324398,3.54148550024632,21.0206780285354,8.01985420666581e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.1600511467418,23.571801519083,23.571801519083,0.662025859385059,4.77330470093284,626.309044785652,2.9575638934403e+37
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.84436642001117,6.32409170286365,6.32409170286365,0.496948953527977,3.711380025891,10.8893007889264,18802512.6787602
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.11057843819411,3.03611409095763,3.03611409095763,0.506138233663786,2.19421961102396,3.08293132942513,3595.20790430087
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.27185331557129,3.56745806500616,3.56745806500616,0.548901078053199,2.31709021246999,3.37555487205693,34935.816379029
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.87109084593934,17.656267966879,17.656267966879,0.536375099451427,5.35276683961602,478.528882330096,8.71968390549525e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.05393559898884,7.79853268731821,7.79853268731821,0.842824304650733,2.43696769024712,4.45869735690606,466597576732032192
