"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",-0.132423898054824,0.294184974534399,-0.450138210710486,0.652610786299917
"2","CountryUSA",-0.716528504979654,0.309850864647791,-2.31249477323271,0.0207504330208779
"3","SexMale",0.407274969251793,0.26473166871054,1.53844446051942,0.123939978432076
"4","Delivery.ModeVaginal",-0.237217897916759,0.327462581889389,-0.724412226117752,0.468812696123512
"5","HLA.CategoryLow/No Risk",-0.711398376597154,0.344166269247538,-2.06701946170526,0.038732320153069
"6","HLA.CategoryStandard Risk",-1.00665014817227,0.26182894663906,-3.84468623921849,0.000120706782775488
"7","feeding_first_yearBreastmilk_and_formula",-0.28945301645185,0.260880933018853,-1.10952154725287,0.267205254333568
"8","feeding_first_yearFormula",-0.078941732353424,0.306940635626955,-0.257188925774452,0.797032932496991
"9","feeding_first_yearUnknown",0.658802979086514,0.700891733931281,0.939949705771687,0.347243359338745
"10","Age.at.Gluten.Introduction..months.11",2.23247876251087,0.611952299433496,3.64812545778086,0.000264160646067895
"11","Age.at.Gluten.Introduction..months.12",-16.10323465025,10982.0069114905,-0.0014663289488009,0.998830039189953
"12","Age.at.Gluten.Introduction..months.15",-15.4896896867126,1664.33666120007,-0.00930682478360103,0.992574335393338
"13","Age.at.Gluten.Introduction..months.36",2.31001149237871,0.663510330638419,3.48150041636285,0.00049861300631934
"14","Age.at.Gluten.Introduction..months.4",2.46819603660531,0.70364426934959,3.50773273388096,0.000451942844949177
"15","Age.at.Gluten.Introduction..months.5",3.1405847261968,0.662136937579654,4.74310455730918,2.10467569269262e-06
"16","Age.at.Gluten.Introduction..months.6",1.84500783438194,0.495132986766339,3.72628744942139,0.000194320789126949
"17","Age.at.Gluten.Introduction..months.7",1.0956724412756,0.506102297833676,2.16492287422034,0.0303935921488167
"18","Age.at.Gluten.Introduction..months.8",1.28257955341403,0.548296288187281,2.3392088931595,0.0193246250567915
"19","Age.at.Gluten.Introduction..months.9",2.86448379025765,0.535709345516306,5.34708571771679,8.93816926674192e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.01071394992921,0.852051427416912,2.3598504564741,0.0182823032549619
