"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.473992728901821,1.60639530672701,1.60639530672701,0.480736280107061,0.985972452081757,1.87031633966368,61.6519932464213
"CountryUSA","CountryUSA",-0.719009016503921,0.487234858498387,0.487234858498387,0.309121082275367,-2.32597858163367,1.30452127206,2.44250243523987
"SexMale","SexMale",0.425089175996695,1.52972682849569,1.52972682849569,0.265024104424935,1.60396420136606,2.48423698073565,13.0866994593217
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.18854287830467,0.82816499236646,0.82816499236646,0.328526195003329,-0.573905159382373,1.54494078704761,4.8391331185841
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.700425804366352,0.496373900612181,0.496373900612181,0.344221416501383,-2.03481181236595,1.28764826316528,2.65001378067669
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.990387737587926,0.371432644700031,0.371432644700031,0.26196228013692,-3.7806501648645,1.24891909980532,1.86017929355121
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.284356344010009,0.752498448609295,0.752498448609295,0.25914301330511,-1.09729504331731,1.57273627229534,3.49213728946121
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0605741431220732,0.94122398114676,0.94122398114676,0.306748016394273,-0.197471996181437,1.67519136574941,5.5683959940717
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.586896131926935,1.79839775417693,1.79839775417693,0.691787179756865,0.84837671049817,1.58960369470849,1072.8586143064
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.27600736492515,9.73772351449436,9.73772351449436,0.613068799878698,3.7124827839477,18.6954125614525,115687817448323
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0494993431603,1.07100376599861e-07,1.07100376599861e-07,11008.9266491044,-0.00145786231979899,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4348681192722,1.98025877712881e-07,1.98025877712881e-07,1664.87263175018,-0.00927090026283056,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.34157547006575,10.397604780615,10.397604780615,0.663641345000626,3.52837490868437,16.9735763087309,38104688357688032
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.55069572808639,12.8160171447486,12.8160171447486,0.705454578789038,3.61567676329331,24.9195361090855,1.52425674196106e+22
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.16113820805266,23.5974394450156,23.5974394450156,0.66223755096296,4.77342035868556,629.026854260671,3.36710461926346e+37
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.85867419731027,6.41522580711582,6.41522580711582,0.493641501181065,3.76523082614263,11.4494644726323,21446777.1298966
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.14197221534467,3.13294111072613,3.13294111072613,0.506260520162576,2.25570071112389,3.1947498038164,4677.37095228468
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.24879120391565,3.48612639355822,3.48612639355822,0.547143785703281,2.28238213892988,3.29671320093848,26572.1942099085
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.89685382399321,18.1170561627751,18.1170561627751,0.536341665600017,5.40113515281801,562.377358622583,3.24804767287107e+22
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.11574724050672,8.29578239528539,8.29578239528539,0.842897208631131,2.51008927167133,4.90347645783794,6283978734145340416
