"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",-1.28674951655315,0.480596685720629,-2.67739989638867,0.00741960201165113
"2","CountryUSA",-0.788822212680829,0.309002045095752,-2.5528057991862,0.0106859058957621
"3","SexMale",0.380217378206865,0.26543808832601,1.4324145438385,0.152025218700311
"4","Delivery.ModeVaginal",-0.215486786271714,0.325298313363594,-0.662428231009177,0.507696815990642
"5","HLA.CategoryLow/No Risk",-0.696817760709712,0.342878137487995,-2.03226069126122,0.0421272716611636
"6","HLA.CategoryStandard Risk",-1.16556663210359,0.266534411970874,-4.3730437037562,1.22526183586877e-05
"7","feeding_first_yearBreastmilk_and_formula",-0.298978174210862,0.258763231384859,-1.15541212177163,0.247921700315277
"8","feeding_first_yearFormula",-0.0630781213625868,0.303751011902088,-0.20766390527423,0.835491402666432
"9","feeding_first_yearUnknown",0.656968614969048,0.710692766416955,0.924405940250716,0.355275003090328
"10","Age.at.Gluten.Introduction..months.11",2.30608924506811,0.618203125615243,3.73030990869394,0.00019124438760138
"11","Age.at.Gluten.Introduction..months.12",-16.0389825772833,10947.8345604051,-0.0014650369887111,0.998831070023855
"12","Age.at.Gluten.Introduction..months.15",-15.4538160355453,1650.17394724762,-0.00936496183406674,0.992527950759829
"13","Age.at.Gluten.Introduction..months.36",2.24328306724972,0.666710485492918,3.36470344484112,0.00076625969534439
"14","Age.at.Gluten.Introduction..months.4",2.63324537361167,0.707717090216473,3.72075990535459,0.000198624207261066
"15","Age.at.Gluten.Introduction..months.5",3.37592693300345,0.675132972901138,5.00038817315741,5.72150053929206e-07
"16","Age.at.Gluten.Introduction..months.6",2.02928818256197,0.501403175323321,4.04721845100686,5.18298664819205e-05
"17","Age.at.Gluten.Introduction..months.7",1.19835305447294,0.509249139419102,2.35317639582052,0.018613801687528
"18","Age.at.Gluten.Introduction..months.8",1.4054924217697,0.552858540994451,2.54222792550438,0.0110148319181397
"19","Age.at.Gluten.Introduction..months.9",3.13054226390483,0.547163277983662,5.72140417653961,1.0564723730629e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.16037021516289,0.86745747420883,2.49046239083163,0.0127576997199681
