"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",-1.83043618488263,0.745493026048539,-2.45533642961731,0.0140752792112852
"2","CountryUSA",-0.828767045567948,0.309886390230659,-2.67442221309257,0.00748581401702726
"3","SexMale",0.418468664180986,0.263771144791166,1.58648386089501,0.112629590357214
"4","Delivery.ModeVaginal",-0.201469476325868,0.323894019928839,-0.62202283441396,0.533926853331701
"5","HLA.CategoryLow/No Risk",-0.802685503044314,0.344462671427256,-2.330253956745,0.019792732720349
"6","HLA.CategoryStandard Risk",-1.11095798853344,0.26342478286138,-4.21736321262548,2.47175666533233e-05
"7","feeding_first_yearBreastmilk_and_formula",-0.321464100986661,0.260920826185367,-1.23203695805517,0.217935278752352
"8","feeding_first_yearFormula",-0.0548517780390912,0.303323344432703,-0.180835992500607,0.856496310899956
"9","feeding_first_yearUnknown",0.563596335099271,0.697804575386695,0.807670736161265,0.419280154166039
"10","Age.at.Gluten.Introduction..months.11",2.2984281129941,0.619210806465677,3.71186692640757,0.000205736150529024
"11","Age.at.Gluten.Introduction..months.12",-16.0564498325756,11058.9055541426,-0.00145190224782785,0.998841550019669
"12","Age.at.Gluten.Introduction..months.15",-15.4147952009834,1660.39317671151,-0.00928382230015735,0.992592687926864
"13","Age.at.Gluten.Introduction..months.36",2.34297014633139,0.667473823035988,3.51020529265769,0.000447760849150223
"14","Age.at.Gluten.Introduction..months.4",2.57896456948428,0.709694371501312,3.63390872613044,0.000279159652626372
"15","Age.at.Gluten.Introduction..months.5",3.31625329177489,0.674429904603442,4.91712076991132,8.78263733537329e-07
"16","Age.at.Gluten.Introduction..months.6",1.98523913130625,0.50028247006012,3.9682364466372,7.2406474978409e-05
"17","Age.at.Gluten.Introduction..months.7",1.1671832664153,0.510221487264226,2.28760116057373,0.0221607582581448
"18","Age.at.Gluten.Introduction..months.8",1.44513757469135,0.553824551374748,2.60937795390998,0.00907069958202338
"19","Age.at.Gluten.Introduction..months.9",3.02956690093245,0.545286776874919,5.55591484960471,2.76161481591856e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.15154209745792,0.856848901524547,2.51099358781903,0.0120391883776631
