"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.356038079493421,1.42766191187115,1.42766191187115,0.399168144454572,0.891950132894286,1.92112176286067,22.6860118220964
"CountryUSA","CountryUSA",-0.697949376000229,0.497604658332537,0.497604658332537,0.311929624117185,-2.2375219345567,1.30996908942246,2.5019327003711
"SexMale","SexMale",0.410140681066141,1.50702978075688,1.50702978075688,0.264805758407787,1.54883596010985,2.45186224447362,12.5831277631112
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.246193625856749,0.781770839221331,0.781770839221331,0.328081635128195,-0.750403556604292,1.50828831766566,4.42429032327406
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.722555709507844,0.48550984688604,0.48550984688604,0.344074348598868,-2.09999877192305,1.28063419126754,2.59337462609959
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.00605222824129,0.365659674870076,0.365659674870076,0.261547111491351,-3.84654306638964,1.2448335672745,1.84140544135264
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.280142958430082,0.755675703521216,0.755675703521216,0.259248678662564,-1.08059551113359,1.57559771777195,3.51153782346527
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0835119959463589,0.919880051773292,0.919880051773292,0.30626084730281,-0.272682573309111,1.65650426635501,5.34716745847041
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.569493611128023,1.76737184735603,1.76737184735603,0.697135557401156,0.816905127104736,1.56947148848438,1022.45417750653
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.22689595717219,9.27104365304521,9.27104365304521,0.613436006593356,3.63020092273193,16.2149687760142,25057933747065.2
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0945458934836,1.02382924263694e-07,1.02382924263694e-07,11046.8355082298,-0.00145693722709036,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4963267498048,1.86221921182296e-07,1.86221921182296e-07,1673.32008760669,-0.00926082634433008,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.32578675225198,10.2347291152596,10.2347291152596,0.663066316025663,3.50762313819899,16.2882470217846,20084341965121108
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.48662319756483,12.0206162626596,12.0206162626596,0.703093573840071,3.53668884211769,20.6986434084423,5.13158849352257e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.14670157880911,23.2592192148793,23.2592192148793,0.661137914687422,4.75952370738991,581.443962690909,8.12355248459112e+36
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.84345724626179,6.31834461764415,6.31834461764415,0.496412224612053,3.71356134048161,10.8930145529364,18195504.0729643
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.09236310128589,2.98131089453543,2.98131089453543,0.506859891699462,2.15515790295278,3.01619350217007,3136.77695933965
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.2744202957988,3.57662742306687,3.57662742306687,0.548845647414431,2.32200127996367,3.38657514895042,35847.0591345604
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.86712267866501,17.5863437693563,17.5863437693563,0.536264244857774,5.34647369493265,467.600456503658,7.06093214186906e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.01900826089608,7.53085258796828,7.53085258796828,0.848089966365915,2.3806533987751,4.17337494232355,173568708561910560
