"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",1.1238810119334,0.373976866584844,3.00521532841505,0.00265392893596429
"2","CountryUSA",-0.674893944701578,0.308958021027385,-2.18441956113435,0.0289314321311695
"3","SexMale",0.3930572355341,0.26211024385435,1.49958746271861,0.133721297278439
"4","Delivery.ModeVaginal",-0.134495379215476,0.328673688216878,-0.409206407562288,0.682388192508968
"5","HLA.CategoryLow/No Risk",-0.733845811989341,0.344082879741324,-2.13275886478582,0.0329445122898456
"6","HLA.CategoryStandard Risk",-0.952569931229513,0.258500165381883,-3.68498770521976,0.000228713680645073
"7","feeding_first_yearBreastmilk_and_formula",-0.19152642758649,0.261001028696295,-0.733814837984235,0.463061596016694
"8","feeding_first_yearFormula",0.0255273464275133,0.306717320815745,0.0832275997965189,0.933670567401902
"9","feeding_first_yearUnknown",0.778473342921796,0.700810268311767,1.11081897358199,0.26664627779918
"10","Age.at.Gluten.Introduction..months.11",2.23981869504347,0.609319059222166,3.67593736178667,0.000236977668135236
"11","Age.at.Gluten.Introduction..months.12",-15.9460375944474,11230.0469210211,-0.00141994398657397,0.998867048996625
"12","Age.at.Gluten.Introduction..months.15",-15.3604327589231,1669.68754679049,-0.00919958514899945,0.992659896579022
"13","Age.at.Gluten.Introduction..months.36",2.36513414571396,0.661282632715514,3.5765859085119,0.000348110949087355
"14","Age.at.Gluten.Introduction..months.4",2.61879543431554,0.701479226567088,3.73324730816542,0.00018902682772031
"15","Age.at.Gluten.Introduction..months.5",3.15810390987026,0.662857240792208,4.76438019458893,1.89435029302609e-06
"16","Age.at.Gluten.Introduction..months.6",1.92785199008333,0.488736568700501,3.94456259986701,7.9945767949428e-05
"17","Age.at.Gluten.Introduction..months.7",1.12739571747767,0.502435935883105,2.24385963853502,0.024841433752777
"18","Age.at.Gluten.Introduction..months.8",1.34800276051576,0.542591678509147,2.48437787365188,0.0129778014498708
"19","Age.at.Gluten.Introduction..months.9",2.93346196680934,0.534172163700144,5.49160395496766,3.98299769058922e-08
"20","Age.at.Gluten.Introduction..months.Unknown",2.0568404534074,0.838352267676189,2.45343220590161,0.0141500208928732
