"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.487329465773843,18511.2715900543,2.63260934508505e-05,0.999978994816492
"2","CountryUSA",0.405665088460849,0.558793929005408,0.725965454175367,0.467859948700607
"3","SexMale",0.7207250232195,0.323607527761277,2.22715778030718,0.0259367306861639
"4","Delivery.ModeVaginal",-1.21003490973179,0.581434485398955,-2.08111995438578,0.0374229278202191
"5","HLA.CategoryLow/No Risk",-0.37411995956947,0.42300398801362,-0.884436010464808,0.376460890986403
"6","HLA.CategoryStandard Risk",-0.512276219035334,0.293543647988126,-1.7451449641181,0.0809596384045909
"7","feeding_first_yearBreastmilk_and_formula",-0.177244250103111,0.325977910148032,-0.543730862077808,0.586626691644547
"8","feeding_first_yearFormula",-0.0820209913028198,0.340289679868824,-0.241032849819123,0.809529656477182
"9","Age.at.Gluten.Introduction..months.11",19.6681847032112,2327.38830135427,0.00845075344400701,0.993257354554571
"10","Age.at.Gluten.Introduction..months.15",-0.421450081927344,3757.68847746345,-0.000112156737966697,0.999910511870574
"11","Age.at.Gluten.Introduction..months.36",19.5354083602238,2327.38828834393,0.00839370398917161,0.993302871819392
"12","Age.at.Gluten.Introduction..months.4",19.7436856484213,2327.38835733809,0.00848319344133987,0.993231472109316
"13","Age.at.Gluten.Introduction..months.5",19.9850615871111,2327.38834338968,0.0085869045635952,0.993148725620096
"14","Age.at.Gluten.Introduction..months.6",19.3159383246597,2327.38826718532,0.0082994052161395,0.993378108733735
"15","Age.at.Gluten.Introduction..months.7",18.4559553354577,2327.38826229666,0.00792989963661903,0.993672921822563
"16","Age.at.Gluten.Introduction..months.8",18.6442233719639,2327.3882868722,0.00801079195814812,0.993608381138196
"17","Age.at.Gluten.Introduction..months.9",20.1528681581616,2327.38827309163,0.00865900562925462,0.993091199431731
"18","Age.at.Solid.Introduction..months.4",0.380324580090194,33758.6956543098,1.12659737800515e-05,0.999991011053459
"19","Age.at.Solid.Introduction..months.5",0.407286649186916,33758.6956522697,1.20646441255361e-05,0.999990373806721
"20","Age.at.Solid.Introduction..months.6",0.622586624156921,33758.6956531662,1.84422594567433e-05,0.999985285205914
"21","Age.at.Solid.Introduction..months.7",0.115512293099391,33758.6956526888,3.42170486347541e-06,0.999997269874518
"22","Age.at.Solid.Introduction..months.8",21.0103346752708,33678.3659841209,0.000623852555233143,0.99950223771025
