"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-0.910877770940237,1.04805903687023,-0.869109218942812,0.384787394748482
"2","CountryUSA",0.418213896587103,0.558500518740963,0.748815592024676,0.453968360665023
"3","SexMale",0.711725402432999,0.324153930037686,2.19564020818829,0.0281177059185911
"4","Delivery.ModeVaginal",-1.1759370518655,0.581375743240769,-2.02267993726478,0.0431061566718883
"5","HLA.CategoryLow/No Risk",-0.377148933806028,0.424291985482957,-0.88889007266242,0.374062161229845
"6","HLA.CategoryStandard Risk",-0.45861521100106,0.297619922910992,-1.54094257708083,0.123330762185527
"7","feeding_first_yearBreastmilk_and_formula",-0.117131085328469,0.33137978338585,-0.353464789347409,0.723740021331342
"8","feeding_first_yearFormula",-0.0541035604917246,0.339205830952003,-0.159500679395397,0.873274423090021
"9","Age.at.Gluten.Introduction..months.11",19.5828565238895,2344.27487124059,0.00835348139594494,0.993334963680408
"10","Age.at.Gluten.Introduction..months.15",-0.486138373697286,3745.49389586526,-0.000129792862360274,0.999896440279311
"11","Age.at.Gluten.Introduction..months.36",19.4991700693839,2344.27485609334,0.00831778322354173,0.993363445711493
"12","Age.at.Gluten.Introduction..months.4",19.6900497471632,2344.27492521742,0.00839920673780915,0.993298481415978
"13","Age.at.Gluten.Introduction..months.5",19.8936106331489,2344.27491236748,0.00848603998114638,0.993229200980902
"14","Age.at.Gluten.Introduction..months.6",19.2755043540827,2344.27483550311,0.00822237395639917,0.993439568689445
"15","Age.at.Gluten.Introduction..months.7",18.4240158339865,2344.27483057946,0.00785915354021542,0.99372936728164
"16","Age.at.Gluten.Introduction..months.8",18.5799857285129,2344.2748553166,0.00792568571316421,0.993676283941372
"17","Age.at.Gluten.Introduction..months.9",20.1301061091744,2344.27484036987,0.00858692238747841,0.993148711399219
"18","Age.at.Solid.Introduction..months.4",0.39873870047333,33969.5401109611,1.1738124777988e-05,0.999990634331467
"19","Age.at.Solid.Introduction..months.5",0.419009390002672,33969.5401089168,1.23348561287318e-05,0.999990158208735
"20","Age.at.Solid.Introduction..months.6",0.696023794648497,33969.5401098705,2.04896443224515e-05,0.99998365162914
"21","Age.at.Solid.Introduction..months.7",0.143535183334973,33969.540109324,4.22540849458173e-06,0.999996628611799
"22","Age.at.Solid.Introduction..months.8",21.0577740095017,33888.5539018507,0.000621383080272175,0.999504208065812
