"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.565616072573596,1.0685313120494,0.529339726590478,0.596569801823308
"2","CountryUSA",0.408619878089364,0.559047616777252,0.730921420334353,0.464827151440457
"3","SexMale",0.740942586922014,0.327310549294291,2.26372962472352,0.0235907492574546
"4","Delivery.ModeVaginal",-1.1884042092392,0.582833350461077,-2.03901202341812,0.0414488275875729
"5","HLA.CategoryLow/No Risk",-0.365384576057219,0.423304132745252,-0.863172711514987,0.388042514874502
"6","HLA.CategoryStandard Risk",-0.489349818963406,0.295363548673892,-1.65677119319721,0.0975657431454412
"7","feeding_first_yearBreastmilk_and_formula",-0.184793466204999,0.327004293161679,-0.565110214359274,0.571998801364244
"8","feeding_first_yearFormula",-0.0998959858466392,0.342507371840481,-0.291660834363485,0.770545957433993
"9","Age.at.Gluten.Introduction..months.11",19.6529154480141,2331.48707722165,0.00842934779266879,0.993274433184983
"10","Age.at.Gluten.Introduction..months.15",-0.459815315999136,3728.455661734,-0.000123325944497162,0.999901600133189
"11","Age.at.Gluten.Introduction..months.36",19.5203280347889,2331.48706483175,0.00837247966297319,0.993319805786541
"12","Age.at.Gluten.Introduction..months.4",19.7361576173416,2331.4871328046,0.00846505105674784,0.993245947118138
"13","Age.at.Gluten.Introduction..months.5",19.9354210478637,2331.48712038507,0.00855051733872376,0.993177757359214
"14","Age.at.Gluten.Introduction..months.6",19.2780137436377,2331.48704406737,0.00826854851829092,0.993402727971791
"15","Age.at.Gluten.Introduction..months.7",18.4360245110762,2331.48703851056,0.00790741025215124,0.993690865192632
"16","Age.at.Gluten.Introduction..months.8",18.6128603359682,2331.48706322504,0.00798325696485824,0.993630350181726
"17","Age.at.Gluten.Introduction..months.9",20.1347412279363,2331.48704905046,0.00863600818033132,0.993109548055102
"18","Age.at.Solid.Introduction..months.4",0.391036677143156,33761.8985322601,1.15821886251306e-05,0.999990758750516
"19","Age.at.Solid.Introduction..months.5",0.412670089538187,33761.8985302159,1.22229527219525e-05,0.999990247494736
"20","Age.at.Solid.Introduction..months.6",0.643613660831288,33761.8985311176,1.90633136415028e-05,0.999984789676369
"21","Age.at.Solid.Introduction..months.7",0.110190272030707,33761.8985306214,3.26374631837622e-06,0.999997395907202
"22","Age.at.Solid.Introduction..months.8",21.0082843926004,33681.295101054,0.000623737428432287,0.999502329568129
