"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.171585513225994,1.09574633048628,0.156592368554724,0.87556611735425
"2","CountryUSA",0.430646918066717,0.584284557279701,0.737049974539312,0.461091959189902
"3","SexMale",0.716209386579477,0.325069034671035,2.20325318683236,0.0275769084666149
"4","Delivery.ModeVaginal",-1.23350417937039,0.60404296915558,-2.04208018693564,0.0411435778835199
"5","HLA.CategoryLow/No Risk",-0.373161990209393,0.423341708198817,-0.881467578040155,0.378064794960743
"6","HLA.CategoryStandard Risk",-0.50864534665747,0.294562208616121,-1.72678412837522,0.0842064399816115
"7","feeding_first_yearBreastmilk_and_formula",-0.176440719058685,0.32584416087896,-0.541488049326213,0.588171232614817
"8","feeding_first_yearFormula",-0.084741069263902,0.341148942766907,-0.248399038193127,0.803825677677247
"9","Age.at.Gluten.Introduction..months.11",19.674577091233,2325.45486520165,0.00846052846935259,0.993249555491579
"10","Age.at.Gluten.Introduction..months.15",-0.434903889902283,3727.26645576152,-0.000116681727765939,0.999906901451099
"11","Age.at.Gluten.Introduction..months.36",19.5461237403907,2325.45485277868,0.00840529056800873,0.993293627393136
"12","Age.at.Gluten.Introduction..months.4",19.7503043291872,2325.45492139948,0.00849309274819282,0.993223573889748
"13","Age.at.Gluten.Introduction..months.5",19.9944647041727,2325.45490806539,0.00859808746874677,0.993139803282109
"14","Age.at.Gluten.Introduction..months.6",19.3303162113073,2325.45483276419,0.00831248835236674,0.993367670261407
"15","Age.at.Gluten.Introduction..months.7",18.4693208102749,2325.45482756632,0.00794224019806213,0.993663075789178
"16","Age.at.Gluten.Introduction..months.8",18.6513548478993,2325.45485117799,0.00802051901306588,0.993600620320579
"17","Age.at.Gluten.Introduction..months.9",20.1617157341719,2325.45483743023,0.00867000958679201,0.993082419873467
"18","Age.at.Solid.Introduction..months.4",0.36593794827973,33761.3011759713,1.0838976447394e-05,0.999991351748038
"19","Age.at.Solid.Introduction..months.5",0.39006760030563,33761.3011739861,1.15536897791779e-05,0.999990781489305
"20","Age.at.Solid.Introduction..months.6",0.604322115081533,33761.301174913,1.78998466898719e-05,0.999985717988686
"21","Age.at.Solid.Introduction..months.7",0.0999905971027002,33761.3011743792,2.96169263697044e-06,0.999997636911171
"22","Age.at.Solid.Introduction..months.8",21.0305459472898,33681.1268394602,0.000624401494864797,0.999501799719878
