"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-1.26826914661233,1.03087995684082,-1.23027820862771,0.218592941658395
"2","CountryUSA",0.438253264315357,0.559845498049142,0.782811089564013,0.433738054444496
"3","SexMale",0.735596957983239,0.324763296780234,2.26502491283987,0.0235111507643952
"4","Delivery.ModeVaginal",-1.24375536840562,0.583722069601334,-2.13073212951341,0.0331112165522773
"5","HLA.CategoryLow/No Risk",-0.366301664412588,0.423652846542109,-0.86462694019968,0.387243581068822
"6","HLA.CategoryStandard Risk",-0.503275871342317,0.294885932060623,-1.70667982641794,0.0878815788426683
"7","feeding_first_yearBreastmilk_and_formula",-0.208200715836523,0.325569331020745,-0.639497323607723,0.522499454198193
"8","feeding_first_yearFormula",-0.12286214363993,0.340733865629977,-0.360580957847475,0.718412726416151
"9","Age.at.Gluten.Introduction..months.11",19.6670402013514,2313.66952210719,0.00850036706341687,0.993217770035447
"10","Age.at.Gluten.Introduction..months.15",-0.456346861610771,3725.52078473822,-0.000122492099220119,0.999902265445456
"11","Age.at.Gluten.Introduction..months.36",19.6632527867482,2313.66950980187,0.00849873013558968,0.993219076067711
"12","Age.at.Gluten.Introduction..months.4",19.739026431294,2313.66957850601,0.00853148030067455,0.993192946163945
"13","Age.at.Gluten.Introduction..months.5",19.965584603475,2313.66956471513,0.00862940192841806,0.993114818885105
"14","Age.at.Gluten.Introduction..months.6",19.2929047034962,2313.66948721185,0.0083386606471375,0.993346788515213
"15","Age.at.Gluten.Introduction..months.7",18.4394297431389,2313.66948221202,0.00796977696464648,0.993641105323622
"16","Age.at.Gluten.Introduction..months.8",18.7322435324015,2313.66950781726,0.00809633505092682,0.993540129838627
"17","Age.at.Gluten.Introduction..months.9",20.1467589840065,2313.66949362597,0.00870770827013526,0.993052341811479
"18","Age.at.Solid.Introduction..months.4",0.384810076149046,33759.7473671939,1.13984880266902e-05,0.999990905322387
"19","Age.at.Solid.Introduction..months.5",0.417640898535923,33759.7473651319,1.23709722711751e-05,0.999990129392223
"20","Age.at.Solid.Introduction..months.6",0.633859072817896,33759.7473660248,1.87755869718326e-05,0.999985019249036
"21","Age.at.Solid.Introduction..months.7",0.0943137219435555,33759.7473655863,2.79367380692239e-06,0.999997770970802
"22","Age.at.Solid.Introduction..months.8",21.025531784574,33680.3632839253,0.00062426677548959,0.999501907210367
