"","term","estimate","std.error","statistic","p.value"
"1","get(i)",1.27334066015173,1.06765582555648,1.19265088024789,0.233006130288263
"2","CountryUSA",0.41059693897001,0.559087725212735,0.734405211299847,0.462701811620834
"3","SexMale",0.727078457955544,0.324170692889969,2.24288769436148,0.0249040574947296
"4","Delivery.ModeVaginal",-1.22289370021449,0.582385823166966,-2.09979991196299,0.0357464460066695
"5","HLA.CategoryLow/No Risk",-0.376742479465768,0.423497693400557,-0.889597476766973,0.373682061571697
"6","HLA.CategoryStandard Risk",-0.511100236993188,0.29387661038929,-1.73916609530833,0.0820055513348521
"7","feeding_first_yearBreastmilk_and_formula",-0.184705964506546,0.326828286290269,-0.565146813340696,0.571973909427169
"8","feeding_first_yearFormula",-0.0746155209581072,0.340130385916081,-0.219373287561896,0.826359276679389
"9","Age.at.Gluten.Introduction..months.11",19.6143792492532,2328.39525347197,0.00842399039424486,0.993278707618708
"10","Age.at.Gluten.Introduction..months.15",-0.437427330488701,3705.40600414816,-0.000118051120443753,0.999905808833831
"11","Age.at.Gluten.Introduction..months.36",19.5590534191267,2328.39523865038,0.00840022909103002,0.993297665724903
"12","Age.at.Gluten.Introduction..months.4",19.7487148261556,2328.39530728643,0.00848168468831493,0.993232675876753
"13","Age.at.Gluten.Introduction..months.5",19.993298022109,2328.39529373891,0.00858672841156795,0.993148866163897
"14","Age.at.Gluten.Introduction..months.6",19.3320061111142,2328.39521733035,0.00830271680994068,0.993375466555204
"15","Age.at.Gluten.Introduction..months.7",18.4694611080621,2328.3952122968,0.00793227069464864,0.993671030051467
"16","Age.at.Gluten.Introduction..months.8",18.6631729818424,2328.39523717874,0.00801546605311566,0.993604651869717
"17","Age.at.Gluten.Introduction..months.9",20.1710642717026,2328.39522323853,0.00866307578300519,0.993087952040695
"18","Age.at.Solid.Introduction..months.4",0.393014014230621,33906.9597944498,1.15909540876901e-05,0.999990751756689
"19","Age.at.Solid.Introduction..months.5",0.409718477629354,33906.9597923978,1.20836099767699e-05,0.999990358674161
"20","Age.at.Solid.Introduction..months.6",0.620588289031956,33906.9597932964,1.83026815973825e-05,0.999985396572933
"21","Age.at.Solid.Introduction..months.7",0.118666227263996,33906.9597928209,3.49976016691183e-06,0.999997207595396
"22","Age.at.Solid.Introduction..months.8",21.0372828255907,33826.9343649262,0.000621909233590008,0.999503788256284
