"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-18.059610232832,10271.8494421913,-0.00175816539508968,0.998597187698636
"2","CountryUSA",0.433192930952259,0.559367364926345,0.774433687259,0.438674368761488
"3","SexMale",0.734924223647469,0.324631614995295,2.26387138436323,0.0235820264143062
"4","Delivery.ModeVaginal",-1.21700704754976,0.581393769296268,-2.09325780877022,0.0363261467746209
"5","HLA.CategoryLow/No Risk",-0.350062552621829,0.424006409029204,-0.825606748311482,0.40902720581267
"6","HLA.CategoryStandard Risk",-0.471314767360339,0.29625748294384,-1.5908957393312,0.111633041597115
"7","feeding_first_yearBreastmilk_and_formula",-0.192916224052281,0.325046644706408,-0.593503200829924,0.552844441501476
"8","feeding_first_yearFormula",-0.102612784508626,0.340089179204677,-0.301723167872009,0.762863105490337
"9","Age.at.Gluten.Introduction..months.11",19.6906344448183,2330.57441861146,0.0084488331664388,0.993258886659699
"10","Age.at.Gluten.Introduction..months.15",-0.431494023976931,3732.43686909716,-0.000115606516361871,0.999907759345672
"11","Age.at.Gluten.Introduction..months.36",19.5360123984721,2330.57440535799,0.00838248817697421,0.993311820427963
"12","Age.at.Gluten.Introduction..months.4",19.7601989612123,2330.57447446522,0.00847868162022434,0.993235071892263
"13","Age.at.Gluten.Introduction..months.5",19.9665003713797,2330.57446064195,0.00856720122380471,0.993164446032457
"14","Age.at.Gluten.Introduction..months.6",19.3164257312473,2330.57438440969,0.00828826827432066,0.993386994422048
"15","Age.at.Gluten.Introduction..months.7",18.4597344157346,2330.57437960819,0.00792068023112739,0.993680277612851
"16","Age.at.Gluten.Introduction..months.8",18.7032841064099,2330.57440407067,0.00802518214983482,0.993596899795486
"17","Age.at.Gluten.Introduction..months.9",20.1563843050147,2330.57439041088,0.00864867664724536,0.993099440458418
"18","Age.at.Solid.Introduction..months.4",0.371236611032516,33754.5692248052,1.09981143163192e-05,0.999991224774389
"19","Age.at.Solid.Introduction..months.5",0.409035803754458,33754.569222767,1.21179387908932e-05,0.99999033128373
"20","Age.at.Solid.Introduction..months.6",0.627485461706968,33754.5692236474,1.8589645080328e-05,0.999985167609201
"21","Age.at.Solid.Introduction..months.7",0.0924279959992096,33754.5692232155,2.73823657437287e-06,0.999997815203313
"22","Age.at.Solid.Introduction..months.8",21.0513092494874,33674.0168161907,0.000625149929822621,0.999501202555297
