"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-1.38322513071299,0.608004610136571,-2.27502408312708,0.0229044851632344
"2","CountryUSA",0.462296278762094,0.560465441476627,0.824843504256226,0.409460444244768
"3","SexMale",0.734104951241647,0.325849731240737,2.25289414370973,0.024265824211933
"4","Delivery.ModeVaginal",-1.28803238497203,0.586017207025271,-2.19794294353628,0.0279531721456479
"5","HLA.CategoryLow/No Risk",-0.385603547677627,0.424198202841058,-0.909017400580804,0.3633409408813
"6","HLA.CategoryStandard Risk",-0.534426319526701,0.2962821652311,-1.80377485465535,0.0712666093147815
"7","feeding_first_yearBreastmilk_and_formula",-0.240597630907366,0.325905563608642,-0.738243398619251,0.460366554903633
"8","feeding_first_yearFormula",-0.168890420216137,0.33990754680447,-0.496871639961823,0.619279571719242
"9","Age.at.Gluten.Introduction..months.11",19.7169689405658,2347.55408192471,0.00839894130336724,0.993298693194551
"10","Age.at.Gluten.Introduction..months.15",-0.465928958285319,3768.49329725336,-0.000123637995754141,0.99990135115231
"11","Age.at.Gluten.Introduction..months.36",19.7969093292847,2347.55406904286,0.00843299397885913,0.993271524052715
"12","Age.at.Gluten.Introduction..months.4",19.8195939195113,2347.55413652483,0.00844265681082481,0.993263814502729
"13","Age.at.Gluten.Introduction..months.5",20.066038299479,2347.55412245575,0.00854763607259803,0.993180056192963
"14","Age.at.Gluten.Introduction..months.6",19.387306258443,2347.55404643319,0.00825851327593483,0.993410734663354
"15","Age.at.Gluten.Introduction..months.7",18.4967672625619,2347.55404145677,0.00787916569157393,0.993713400389415
"16","Age.at.Gluten.Introduction..months.8",18.8596778059444,2347.55406735852,0.0080337565247924,0.993590058654624
"17","Age.at.Gluten.Introduction..months.9",20.224424619409,2347.55405299151,0.00861510498283813,0.993126225773229
"18","Age.at.Solid.Introduction..months.4",0.305053222784023,34366.4476959667,8.87648399051218e-06,0.99999291759047
"19","Age.at.Solid.Introduction..months.5",0.34242389466519,34366.4476939281,9.96390135270483e-06,0.999992049956945
"20","Age.at.Solid.Introduction..months.6",0.577016931065843,34366.4476948029,1.67901243733464e-05,0.999986603418989
"21","Age.at.Solid.Introduction..months.7",0.00762171608003581,34366.4476944141,2.21777826670012e-07,0.999999823046896
"22","Age.at.Solid.Introduction..months.8",21.388608317477,34286.1804739601,0.000623825927000571,0.999502258956501
