"","term","estimate","std.error","statistic","p.value"
"1","get(i)",0.238414180052885,0.421821300381289,0.565201851678375,0.571936477364592
"2","CountryUSA",0.383116938639769,0.560579277817301,0.683430433125341,0.494334895020133
"3","SexMale",0.708764171940837,0.324255509248739,2.18581998370038,0.0288287781374543
"4","Delivery.ModeVaginal",-1.20491090782303,0.580896848384333,-2.07422524528114,0.0380583966879196
"5","HLA.CategoryLow/No Risk",-0.374147808003064,0.423458783986797,-0.883551887814258,0.376938160708953
"6","HLA.CategoryStandard Risk",-0.521779424804617,0.294307483397415,-1.77290573376294,0.0762443284121998
"7","feeding_first_yearBreastmilk_and_formula",-0.170454216910574,0.326499922537147,-0.522065106741888,0.601625000190555
"8","feeding_first_yearFormula",-0.0795104816033748,0.340725429781865,-0.233356464336337,0.815484616405163
"9","Age.at.Gluten.Introduction..months.11",19.6843729025201,2324.29029233537,0.0084689821092622,0.993242810704456
"10","Age.at.Gluten.Introduction..months.15",-0.383924782317014,3724.73355079821,-0.000103074428568116,0.999917758504978
"11","Age.at.Gluten.Introduction..months.36",19.5583863194988,2324.29028128758,0.00841477782571294,0.993286057924383
"12","Age.at.Gluten.Introduction..months.4",19.6590940892175,2324.29035305669,0.00845810596054133,0.993251488304801
"13","Age.at.Gluten.Introduction..months.5",20.0210576290145,2324.29033429988,0.00861383680582452,0.993127237594544
"14","Age.at.Gluten.Introduction..months.6",19.3383539102101,2324.29025846434,0.00832011141456446,0.993361588148099
"15","Age.at.Gluten.Introduction..months.7",18.4619720088173,2324.29025315777,0.00794305787916759,0.993662423394627
"16","Age.at.Gluten.Introduction..months.8",18.6424319977491,2324.2902774192,0.00802069869622691,0.99360047695877
"17","Age.at.Gluten.Introduction..months.9",20.1681942050803,2324.29026410306,0.00867714093913446,0.993076730091564
"18","Age.at.Solid.Introduction..months.4",0.353347576350418,33804.3914671399,1.04527122369262e-05,0.999991659942288
"19","Age.at.Solid.Introduction..months.5",0.37146606847375,33804.3914651863,1.0988692663091e-05,0.999991232291781
"20","Age.at.Solid.Introduction..months.6",0.593229148142581,33804.3914660451,1.75488781905289e-05,0.999985998021033
"21","Age.at.Solid.Introduction..months.7",0.0900980220056387,33804.3914655169,2.66527566684777e-06,0.999997873417695
"22","Age.at.Solid.Introduction..months.8",20.9837678265875,33724.3960778054,0.000622213301557009,0.999503545645195
