"","term","estimate","std.error","statistic","p.value"
"1","get(i)",2.18879919258027,1.07053440566625,2.04458556492452,0.0408957338248344
"2","CountryUSA",0.395791235748898,0.559295220493628,0.707660679452217,0.479156001027211
"3","SexMale",0.712686022416248,0.325586309987963,2.18893116987197,0.0286018431551512
"4","Delivery.ModeVaginal",-1.20326053480028,0.582064744665845,-2.06722799452672,0.0387126755068224
"5","HLA.CategoryLow/No Risk",-0.36699440341666,0.424035278317085,-0.865480827145305,0.386774934766202
"6","HLA.CategoryStandard Risk",-0.512221646123897,0.293804410078106,-1.74341033882959,0.0812619636283291
"7","feeding_first_yearBreastmilk_and_formula",-0.174579222408087,0.325757845917961,-0.535917168521715,0.592015798351267
"8","feeding_first_yearFormula",-0.076914093261974,0.340277251554965,-0.226033603217669,0.821175284981304
"9","Age.at.Gluten.Introduction..months.11",20.3618031896582,3264.02596483136,0.00623824792114061,0.995022630580282
"10","Age.at.Gluten.Introduction..months.15",-0.797601325873094,5966.23000133396,-0.00013368598355993,0.999893334018039
"11","Age.at.Gluten.Introduction..months.36",20.2154459283133,3264.02595568306,0.00619340844796771,0.995058406612501
"12","Age.at.Gluten.Introduction..months.4",20.4439711703495,3264.02600493313,0.00626342165762503,0.995002545237005
"13","Age.at.Gluten.Introduction..months.5",20.6095073649943,3264.02599618447,0.00631413701639818,0.99496208103541
"14","Age.at.Gluten.Introduction..months.6",20.0118557985921,3264.02594059316,0.00613103454531841,0.995108172841519
"15","Age.at.Gluten.Introduction..months.7",19.1473723971615,3264.02593702357,0.00586618267335882,0.995319490258454
"16","Age.at.Gluten.Introduction..months.8",19.3371323478887,3264.02595452373,0.00592431941942393,0.995273104652409
"17","Age.at.Gluten.Introduction..months.9",20.8446610627104,3264.02594457106,0.00638618118136609,0.994904599267473
"18","Age.at.Solid.Introduction..months.4",2.89748340903709,3264.02608494071,0.000887702283509697,0.999291716146421
"19","Age.at.Solid.Introduction..months.5",2.93890891800806,3264.02607716278,0.000900393823006057,0.999281589767051
"20","Age.at.Solid.Introduction..months.6",3.15064505332774,3264.02607714836,0.000965263444243168,0.99922983132033
"21","Age.at.Solid.Introduction..months.7",2.64909764710389,3264.02608477301,0.000811604312680643,0.999352433520523
"22","Age.at.Solid.Introduction..months.8",NA,0,NA,NA
