"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-18.4777857485941,18190.1547986097,-0.00101581245201973,0.999189499067251
"2","CountryUSA",0.346810750005054,0.558132481261732,0.621377113227746,0.534351526993041
"3","SexMale",0.73022547429568,0.323306140640132,2.25861925433852,0.0239070790646015
"4","Delivery.ModeVaginal",-1.16166247934018,0.579496756453502,-2.00460566241908,0.0450052208212449
"5","HLA.CategoryLow/No Risk",-0.375338352728312,0.422270228056773,-0.888858195036778,0.374079295223232
"6","HLA.CategoryStandard Risk",-0.521823676294231,0.293527878432038,-1.7777652980756,0.0754424101117493
"7","feeding_first_yearBreastmilk_and_formula",-0.180425683112064,0.32581046453939,-0.553774978858148,0.579732854163191
"8","feeding_first_yearFormula",-0.0770800605319763,0.339422039492197,-0.227092090564579,0.820352134212573
"9","Age.at.Gluten.Introduction..months.11",19.6474301363874,2332.37419028356,0.00842378989539358,0.993278867587969
"10","Age.at.Gluten.Introduction..months.15",-0.395491911922082,3733.74777377885,-0.000105923574886209,0.999915485215131
"11","Age.at.Gluten.Introduction..months.36",19.516599045229,2332.37417794079,0.00836769641415764,0.993323622133235
"12","Age.at.Gluten.Introduction..months.4",19.7280118504005,2332.37424557165,0.00845833891703144,0.993251302439063
"13","Age.at.Gluten.Introduction..months.5",19.9707786109243,2332.37423172736,0.00856242464835237,0.993168257048481
"14","Age.at.Gluten.Introduction..months.6",19.2892236242905,2332.37415656114,0.00827020980747385,0.993401402500122
"15","Age.at.Gluten.Introduction..months.7",18.4288474348334,2332.37415158267,0.00790132553232431,0.993695719944976
"16","Age.at.Gluten.Introduction..months.8",18.6419612869738,2332.3741752192,0.00799269752042327,0.993622817948506
"17","Age.at.Gluten.Introduction..months.9",20.1359491311557,2332.37416181504,0.00863324138159978,0.993111755558799
"18","Age.at.Solid.Introduction..months.4",0.423638009367801,33888.7318842625,1.25008516345379e-05,0.999990025763484
"19","Age.at.Solid.Introduction..months.5",0.455017724498306,33888.7318822683,1.34268147323738e-05,0.999989286951825
"20","Age.at.Solid.Introduction..months.6",0.670747684778381,33888.7318831574,1.97926463312645e-05,0.999984207753076
"21","Age.at.Solid.Introduction..months.7",0.165199533892315,33888.7318826439,4.87476292899946e-06,0.999996110501921
"22","Age.at.Solid.Introduction..months.8",20.9765423095649,33808.364498204,0.000620454216609007,0.999504949191645
