"","term","estimate","std.error","statistic","p.value"
"1","get(i)",-1.04295130666819,1.12136131802904,-0.930076051224353,0.35233170951794
"2","CountryUSA",0.404041291073608,0.558898255006665,0.722924588606542,0.469726216059376
"3","SexMale",0.722825323457087,0.323834967238352,2.23207928909378,0.0256097229997638
"4","Delivery.ModeVaginal",-1.21089965322685,0.581605881954451,-2.0819934783976,0.0373430654173301
"5","HLA.CategoryLow/No Risk",-0.374958631472176,0.423104658127322,-0.886207760348841,0.37550558263356
"6","HLA.CategoryStandard Risk",-0.512432331597274,0.293687955202941,-1.74481902481557,0.0810163760965679
"7","feeding_first_yearBreastmilk_and_formula",-0.176708596793482,0.325970179529299,-0.542100498421815,0.587749275388924
"8","feeding_first_yearFormula",-0.0801352614690372,0.340350607127085,-0.235449150937213,0.813860141168658
"9","Age.at.Gluten.Introduction..months.11",19.7183995561068,2384.45281895044,0.00826957002436567,0.99340191295573
"10","Age.at.Gluten.Introduction..months.15",-0.406759409793373,3814.70599150396,-0.0001066292948131,0.999914922132101
"11","Age.at.Gluten.Introduction..months.36",19.5865178424689,2384.45280631135,0.00821426106259086,0.993446041623561
"12","Age.at.Gluten.Introduction..months.4",19.7914660140201,2384.45287356819,0.0083002126959227,0.993377464480273
"13","Age.at.Gluten.Introduction..months.5",20.0341619325183,2384.45286009891,0.00840199538760739,0.993296256473867
"14","Age.at.Gluten.Introduction..months.6",19.3666587075815,2384.45278559309,0.0081220558547417,0.993519608281123
"15","Age.at.Gluten.Introduction..months.7",18.5052402576467,2384.45278078496,0.00776079124181891,0.993807846647377
"16","Age.at.Gluten.Introduction..months.8",18.6942557920634,2384.45280480396,0.00784006114711101,0.993744600338017
"17","Age.at.Gluten.Introduction..months.9",20.2032085892621,2384.45279134215,0.00847289099730517,0.993239691974934
"18","Age.at.Solid.Introduction..months.4",0.49638855622677,36751.1425372736,1.35067516805314e-05,0.999989223171368
"19","Age.at.Solid.Introduction..months.5",0.522902023459104,36751.1425353955,1.42281841429961e-05,0.999988647551544
"20","Age.at.Solid.Introduction..months.6",0.739049237933872,36751.1425362214,2.01095581506201e-05,0.999983954894028
"21","Age.at.Solid.Introduction..months.7",0.233562948800916,36751.1425357812,6.35525680796228e-06,0.999994929238713
"22","Age.at.Solid.Introduction..months.8",21.49102123276,36673.7105465907,0.000586006185696906,0.999532434738658
