"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",0.253861563191428,0.443840096387464,0.571966267260837,0.567344827944451
"2","CountryUSA",0.0595086759008164,0.382511091688419,0.155573726341223,0.876369036085638
"3","SexMale",0.950853240953908,0.313831439115711,3.02982149791349,0.00244698313885746
"4","Delivery.ModeVaginal",-0.682842872268347,0.383805206444277,-1.77913915914397,0.0752169500562722
"5","HLA.CategoryLow/No Risk",-0.406726888380451,0.41278819350886,-0.985316185821873,0.324468784665667
"6","HLA.CategoryStandard Risk",-0.570370416645878,0.287275327568466,-1.98544866861197,0.0470945757696668
"7","feeding_first_yearBreastmilk_and_formula",-0.454386929274943,0.335256324671994,-1.35534185587551,0.175308665334336
"8","feeding_first_yearFormula",-0.0153373021917984,0.324899245035881,-0.0472063337361852,0.962348779560241
"9","feeding_first_yearUnknown",19.0413767592554,9560.62148877723,0.00199164633613068,0.998410897188392
"10","Age.at.Gluten.Introduction..months.11",19.6220028305553,2243.13921620751,0.00874756354343908,0.993020543115348
"11","Age.at.Gluten.Introduction..months.12",0.7304700275793,18697.5624126049,3.9067660877915e-05,0.999968828516567
"12","Age.at.Gluten.Introduction..months.15",-0.143401504441283,3594.03455195341,-3.98998680642463e-05,0.999968164511302
"13","Age.at.Gluten.Introduction..months.36",19.4188451042341,2243.13920451778,0.00865699510093876,0.99309280354111
"14","Age.at.Gluten.Introduction..months.4",19.9838117514889,2243.13927719662,0.00890885909521577,0.992891852899981
"15","Age.at.Gluten.Introduction..months.5",19.8237726757373,2243.13926136303,0.00883751313045608,0.992948776502787
"16","Age.at.Gluten.Introduction..months.6",18.9180240765253,2243.13918150687,0.008433727266008,0.993270938995026
"17","Age.at.Gluten.Introduction..months.7",18.2442644827829,2243.13917531558,0.00813336269258291,0.993510587027753
"18","Age.at.Gluten.Introduction..months.8",18.421555081476,2243.13919610786,0.0082123994415682,0.993447526932134
"19","Age.at.Gluten.Introduction..months.9",20.1695056983397,2243.13918806276,0.00899164251851833,0.992825803930202
"20","Age.at.Gluten.Introduction..months.Unknown",0.962992772319813,9820.24239601472,9.80620165456015e-05,0.999921757831122
"21","Age.at.Solid.Introduction..months.11",-18.1831094550537,34767.5616447166,-0.000522990644004995,0.999582713858727
"22","Age.at.Solid.Introduction..months.4",0.665738655262732,33427.2114012503,1.99160691949862e-05,0.999984109275879
"23","Age.at.Solid.Introduction..months.5",0.821062550582128,33427.211399085,2.45626995557458e-05,0.999980401801255
"24","Age.at.Solid.Introduction..months.6",0.936824772578601,33427.211400063,2.80258129033413e-05,0.999977638636584
"25","Age.at.Solid.Introduction..months.7",0.247623954037239,33427.2113996097,7.40785556644221e-06,0.999994089386415
"26","Age.at.Solid.Introduction..months.8",20.6759598390272,33351.8726073894,0.000619934001380368,0.999505364263265
"27","Age.at.Solid.Introduction..months.Unknown",1.0833902993175,33427.2114017118,3.24104301222691e-05,0.999974140218201
