"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",1.22112061000934,0.514575531457246,2.3730638853954,0.0176412123433299
"2","CountryUSA",0.042754206002318,0.377260863267552,0.113327965249332,0.909770546992073
"3","SexMale",0.909920396272052,0.309327681739993,2.94160674904256,0.0032651428209211
"4","Delivery.ModeVaginal",-0.692195332628433,0.384665916378392,-1.79947144562589,0.0719441368388809
"5","HLA.CategoryLow/No Risk",-0.369133772289703,0.412069008757206,-0.89580571322994,0.370356538007741
"6","HLA.CategoryStandard Risk",-0.555406373903934,0.290156426574674,-1.91416189005552,0.0555994735568163
"7","feeding_first_yearBreastmilk_and_formula",-0.496810741096323,0.334874371896757,-1.48357349140319,0.137922106267696
"8","feeding_first_yearFormula",-0.0243173080634675,0.326193030783056,-0.0745488277450061,0.940573690301243
"9","feeding_first_yearUnknown",18.8771109764078,9677.23728748791,0.00195067150010001,0.998443590313926
"10","Age.at.Gluten.Introduction..months.11",19.7096861933783,2224.59524772537,0.00885989764364159,0.992930916944528
"11","Age.at.Gluten.Introduction..months.12",0.787577903572527,19039.0469813926,4.13664562276803e-05,0.99996699434325
"12","Age.at.Gluten.Introduction..months.15",-0.0690435276686602,3589.47520523831,-1.92349922261342e-05,0.999984652696676
"13","Age.at.Gluten.Introduction..months.36",19.4746640254048,2224.59523119214,0.00875425054964654,0.993015207860624
"14","Age.at.Gluten.Introduction..months.4",20.0559002387391,2224.59531065401,0.00901552751760625,0.992806747230622
"15","Age.at.Gluten.Introduction..months.5",19.9573144331635,2224.59529563476,0.00897121129057722,0.992842105034048
"16","Age.at.Gluten.Introduction..months.6",18.9956142548022,2224.59521140732,0.00853890818311402,0.993187019787098
"17","Age.at.Gluten.Introduction..months.7",18.2437832163436,2224.5952047373,0.00820094513262157,0.993456665840642
"18","Age.at.Gluten.Introduction..months.8",18.4595499700895,2224.59522531849,0.00829793652346205,0.993379280540596
"19","Age.at.Gluten.Introduction..months.9",20.2489234374069,2224.59521858549,0.00910229567529241,0.99273751909788
"20","Age.at.Gluten.Introduction..months.Unknown",1.11220370567747,9929.63962105913,0.000112008466381668,0.999910630174182
"21","Age.at.Solid.Introduction..months.11",-17.9486360206756,35463.1790245191,-0.000506120334227961,0.999596174416652
"22","Age.at.Solid.Introduction..months.4",0.60190899054237,34117.2981779999,1.76423404749707e-05,0.999985923448919
"23","Age.at.Solid.Introduction..months.5",0.7770935278482,34117.2981757211,2.27771121806241e-05,0.999981826493853
"24","Age.at.Solid.Introduction..months.6",0.887492849616728,34117.2981766893,2.60129874593384e-05,0.999979244638928
"25","Age.at.Solid.Introduction..months.7",0.182131827257971,34117.2981764356,5.33840125076984e-06,0.999995740572063
"26","Age.at.Solid.Introduction..months.8",20.1294888238882,34044.6830989597,0.000591266740987913,0.999528237423537
"27","Age.at.Solid.Introduction..months.Unknown",1.08353509021862,34117.2981781834,3.17591118898006e-05,0.999974659894962
