"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.986231900366774,2.68111271459313,2.68111271459313,0.414639410143531,2.37852909356923,3.28551834700071,421.179123695616
"CountryUSA","CountryUSA",-0.742140787581381,0.476093608495757,0.476093608495757,0.311262308722905,-2.38429378303577,1.29520579977188,2.40193041748056
"SexMale","SexMale",0.446932223740011,1.56350832694839,1.56350832694839,0.266848525272489,1.67485363947068,2.52626236042769,13.9824263790334
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.190934529513232,0.826186677224475,0.826186677224475,0.328830462236311,-0.58064732876244,1.54293706524743,4.82546655543234
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.680085210608649,0.5065738250625,0.5065738250625,0.34431443559094,-1.97518645839357,1.29429427161741,2.70410880050678
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.02298944218387,0.359518572119271,0.359518572119271,0.264295199690861,-3.87063194254166,1.23882970235806,1.82853924743742
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.368002418163176,0.692115508038472,0.692115508038472,0.262927692743296,-1.39963354306109,1.51195493852064,3.18589132285253
"feeding_first_yearFormula","feeding_first_yearFormula",-0.157272336225743,0.854471323632729,0.854471323632729,0.310881205973298,-0.505892068108006,1.59137023184709,4.81396232894886
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.492315613391085,1.63610041292583,1.63610041292583,0.693958384068752,0.709431033176061,1.52175880212357,587.228578666156
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.32318673432873,10.2081532000196,10.2081532000196,0.61489245583519,3.77820009382489,21.301782948368,624416683864446
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0882693319203,1.03027557915971e-07,1.03027557915971e-07,11086.6920676476,-0.00145113341596886,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4933109128935,1.86784383847408e-07,1.86784383847408e-07,1646.8186101745,-0.00940802515660893,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.35862998324132,10.5764516062377,10.5764516062377,0.667668091813791,3.5326384653696,17.4217831853352,99959328211551520
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.60171824547783,13.4868919283347,13.4868919283347,0.704683728205463,3.69203678379707,29.6391763559358,2.03714877782236e+23
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.16050406884053,23.582480127004,23.582480127004,0.662747081357072,4.76879364352527,622.448245347732,3.47487042767363e+37
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.81341830778375,6.1313705627267,6.1313705627267,0.496003965496428,3.65605606795659,10.168624182656,10951921.6698256
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.13159243837483,3.10059006949083,3.10059006949083,0.504699697841338,2.24211039399229,3.16779847026685,4178.40794009915
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.24036367237509,3.45687040446205,3.45687040446205,0.549374632578154,2.25777383741619,3.24707286498389,25498.9337912203
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.91864451566915,18.5161720607318,18.5161720607318,0.537999208830931,5.42499778393976,633.132231686885,1.20897311750064e+23
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.18518660030366,8.89230770588557,8.89230770588557,0.847384894113495,2.57874150870925,5.41594900608061,2.12801777661157e+20
