"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",-0.0565239623631043,0.269280736409483,-0.209907188745766,0.833740111417158
"2","CountryUSA",0.0449351054961691,0.382053647036737,0.117614648740281,0.906372997495483
"3","SexMale",0.933807790213406,0.311604352232846,2.99677390101285,0.00272853000038199
"4","Delivery.ModeVaginal",-0.688318994682186,0.384502580791662,-1.79015442045926,0.0734290901614494
"5","HLA.CategoryLow/No Risk",-0.42068137815427,0.419906074428994,-1.00184637415958,0.316417795777993
"6","HLA.CategoryStandard Risk",-0.56955240108381,0.287840773714042,-1.97870646932612,0.0478490641697873
"7","feeding_first_yearBreastmilk_and_formula",-0.439614248751211,0.333629971595438,-1.31767013211958,0.187614097171832
"8","feeding_first_yearFormula",-0.0139698590853371,0.326025698762965,-0.0428489506757987,0.96582194280012
"9","feeding_first_yearUnknown",18.9518248334697,9564.07306420413,0.00198156420452302,0.998418941549668
"10","Age.at.Gluten.Introduction..months.11",19.5989996901046,2245.58949697874,0.00872777491900167,0.993036331550556
"11","Age.at.Gluten.Introduction..months.12",0.686514735673768,18704.1762453953,3.67038209363954e-05,0.999970714587959
"12","Age.at.Gluten.Introduction..months.15",-0.115382123659905,3595.39037070216,-3.20916817823518e-05,0.99997439454258
"13","Age.at.Gluten.Introduction..months.36",19.3993284806848,2245.58948336126,0.00863885791433588,0.993107274381153
"14","Age.at.Gluten.Introduction..months.4",19.9214545555019,2245.5895612604,0.00887136941637744,0.992921764153886
"15","Age.at.Gluten.Introduction..months.5",19.7973054387108,2245.58954439264,0.00881608372649656,0.992965874027286
"16","Age.at.Gluten.Introduction..months.6",18.9352836294756,2245.58946004041,0.00843221076978818,0.993272148940923
"17","Age.at.Gluten.Introduction..months.7",18.222127472588,2245.58945599901,0.0081146299578083,0.993525533094388
"18","Age.at.Gluten.Introduction..months.8",18.4278471511148,2245.58947553831,0.00820624043346006,0.993452440944026
"19","Age.at.Gluten.Introduction..months.9",20.1444448362474,2245.58946656362,0.00897067123630306,0.992842535917677
"20","Age.at.Gluten.Introduction..months.Unknown",1.033177939624,9824.16285608643,0.000105167020819887,0.999916088857937
"21","Age.at.Solid.Introduction..months.11",-17.9875241358192,34784.818114196,-0.000517108471769708,0.999587407152502
"22","Age.at.Solid.Introduction..months.4",0.642621626848912,33444.1466653373,1.92147712207873e-05,0.999984668830704
"23","Age.at.Solid.Introduction..months.5",0.799828412142497,33444.1466632382,2.39153481832343e-05,0.99998091831292
"24","Age.at.Solid.Introduction..months.6",0.889880022263431,33444.1466642695,2.66079452167379e-05,0.999978769931319
"25","Age.at.Solid.Introduction..months.7",0.240384870841393,33444.1466637721,7.18765149722855e-06,0.999994265083842
"26","Age.at.Solid.Introduction..months.8",20.633864162975,33368.6620453936,0.000618360548436297,0.999506619696835
"27","Age.at.Solid.Introduction..months.Unknown",1.04130421293584,33444.1466660871,3.11356191363597e-05,0.999975157370204
