"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",-1.83043618488263,0.160343613059645,0.160343613059645,0.745493026048539,-2.45533642961731,1.03789559410287,1.99614993502775
"CountryUSA","CountryUSA",-0.828767045567948,0.436587246793924,0.436587246793924,0.309886390230659,-2.67442221309257,1.26851342352144,2.22864850768384
"SexMale","SexMale",0.418468664180986,1.51963270495467,1.51963270495467,0.263771144791166,1.58648386089501,2.47485957892505,12.7861366720192
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.201469476325868,0.817528531153738,0.817528531153738,0.323894019928839,-0.62202283441396,1.54236215034681,4.67588161819558
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.802685503044314,0.448123908630506,0.448123908630506,0.344462671427256,-2.330253956745,1.25625427414221,2.41149878750957
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.11095798853344,0.329243398546163,0.329243398546163,0.26342478286138,-4.21736321262548,1.21709509034879,1.7362939746449
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.321464100986661,0.725086659455883,0.725086659455883,0.260920826185367,-1.23203695805517,1.54466054519972,3.35069085732036
"feeding_first_yearFormula","feeding_first_yearFormula",-0.0548517780390912,0.946625448235619,0.946625448235619,0.303323344432703,-0.180835992500607,1.68604037964439,5.55894404754107
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.563596335099271,1.75697984011196,1.75697984011196,0.697804575386695,0.807670736161265,1.56439857039689,990.542588109246
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.2984281129941,9.95851648281414,9.95851648281414,0.619210806465677,3.71186692640757,19.2755953141057,360029996108093
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.0564498325756,1.06358557555033e-07,1.06358557555033e-07,11058.9055541426,-0.00145190224782785,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4147952009834,2.02040997749353e-07,2.02040997749353e-07,1660.39317671151,-0.00928382230015735,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.34297014633139,10.412116190229,10.412116190229,0.667473823035988,3.51020529265769,16.6829937343262,53618098105486520
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.57896456948428,13.1834805120804,13.1834805120804,0.709694371501312,3.63390872613044,26.5884805105595,1.02213496280766e+23
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.31625329177489,27.5569091988738,27.5569091988738,0.674429904603442,4.91712076991132,1552.70843123478,7.65421434656877e+44
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.98523913130625,7.28078824170129,7.28078824170129,0.50028247006012,3.9682364466372,15.349722626647,268869099.899611
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.1671832664153,3.21292991328713,3.21292991328713,0.510221487264226,2.28760116057373,3.26073378646116,6209.19452828218
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.44513757469135,4.24243575446391,4.24243575446391,0.553824551374748,2.60937795390998,4.19060104744852,285276.226348783
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",3.02956690093245,20.6882705781136,20.6882705781136,0.545286776874919,5.55591484960471,1218.26448128233,1.44939575504777e+26
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",2.15154209745792,8.59810729841168,8.59810729841168,0.856848901524547,2.51099358781903,4.97008257548507,1.05540955004472e+20
