"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)1","get(i)1",0.350117007150256,1.41923359935751,1.41923359935751,0.508015153464626,0.689186148803797,1.68937943609566,46.5855603518352
"CountryUSA","CountryUSA",-0.720601901821255,0.486459367044637,0.486459367044637,0.308990761066705,-2.33211471868471,1.30405784800267,2.43847792325769
"SexMale","SexMale",0.355691882233865,1.42716774477427,1.42716774477427,0.27322904966926,1.3018084375158,2.30576969857724,11.4510374019381
"Delivery.ModeVaginal","Delivery.ModeVaginal",-0.214029902606217,0.807324243562792,0.807324243562792,0.325921529400101,-0.656691514059123,1.53144151819168,4.61462371951897
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.701899399321872,0.49564298520508,0.49564298520508,0.346704478042918,-2.02448899213522,1.28559241217678,2.65880631568778
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-1.01222524120836,0.36340940557209,0.36340940557209,0.261922621466176,-3.86459648098428,1.24295793632959,1.8353196294908
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.27022061973426,0.763211096332317,0.763211096332317,0.260341419598288,-1.03794709328702,1.58120281717846,3.56548099750862
"feeding_first_yearFormula","feeding_first_yearFormula",-0.107148831652668,0.898391953880495,0.898391953880495,0.313225469515714,-0.342082116816151,1.62618507868214,5.25882376715938
"feeding_first_yearUnknown","feeding_first_yearUnknown",0.676195471852098,1.9663823261204,1.9663823261204,0.703278949978888,0.961489707423203,1.64130404155323,2449.6279934485
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",2.19693781064085,8.99741946976442,8.99741946976442,0.616204860825109,3.56527179564782,14.7181032316531,11864534131897.9
"Age.at.Gluten.Introduction..months.12","Age.at.Gluten.Introduction..months.12",-16.1134749624261,1.00463138037505e-07,1.00463138037505e-07,10972.5426343928,-0.00146852698588925,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-15.4944542113032,1.86570955587735e-07,1.86570955587735e-07,1663.52065326825,-0.00931425418786471,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",2.26513138092617,9.63239003030522,9.63239003030522,0.665052207176586,3.40594521224516,13.6811256906821,2530645204285574
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",2.46214401493108,11.7299337522637,11.7299337522637,0.703330352678911,3.50069352979441,19.2098505491728,1.65507431801905e+20
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",3.15905108024691,23.5482399336994,23.5482399336994,0.662088160542475,4.77134506930101,621.801777047369,2.74189392234488e+37
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",1.81992903209764,6.17142046157742,6.17142046157742,0.497066824714696,3.66133674912268,10.2738163090729,12596434.4818965
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",1.08752417738378,2.96691940572944,2.96691940572944,0.50707854186147,2.1446858575232,2.9987502889314,3027.5880507679
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",1.22766469668033,3.41324924941824,3.41324924941824,0.553431363700468,2.21827814107185,3.16984496447464,24302.4331794827
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",2.83763352333776,17.075309365619,17.075309365619,0.537508764823495,5.27923209637255,385.457648311917,1.84405308136892e+21
"Age.at.Gluten.Introduction..months.Unknown","Age.at.Gluten.Introduction..months.Unknown",1.97783857045946,7.22710521257814,7.22710521257814,0.854419375704804,2.31483347252975,3.87364238787555,56318937418871528
