"","term","estimate","std.error","statistic","p.value"
"1","get(i)1",1.19459906055731,0.436236194064296,2.73842261786567,0.00617346867828509
"2","CountryUSA",-0.106619667136291,0.382133611462812,-0.279011486919849,0.780236009405715
"3","SexMale",0.91851064181823,0.30667058886255,2.99510509053056,0.0027435030097862
"4","Delivery.ModeVaginal",-0.608089229912276,0.388297307352166,-1.56604029540892,0.117339183943439
"5","HLA.CategoryLow/No Risk",-0.398522917843899,0.411997841897608,-0.967293702336776,0.333397231048967
"6","HLA.CategoryStandard Risk",-0.550556296876972,0.292467685353446,-1.88245171842362,0.0597747094601035
"7","feeding_first_yearBreastmilk_and_formula",-0.416072402780835,0.325804059612524,-1.27706328544729,0.201579905466306
"8","feeding_first_yearFormula",-0.160709296555963,0.335659546664557,-0.478786610280948,0.63209044315793
"9","feeding_first_yearUnknown",19.3195500365176,9715.11610487153,0.00198860722074439,0.998413322046836
"10","Age.at.Gluten.Introduction..months.11",19.5764776651864,2228.76666659206,0.00878354740252836,0.992991833252726
"11","Age.at.Gluten.Introduction..months.12",0.603667531329475,18998.7998663342,3.17739823344933e-05,0.999974648030064
"12","Age.at.Gluten.Introduction..months.15",-0.162660559801056,3562.47632926587,-4.56594078856871e-05,0.999963569063405
"13","Age.at.Gluten.Introduction..months.36",19.2681946178357,2228.76666236713,0.0086452274000596,0.993102192456609
"14","Age.at.Gluten.Introduction..months.4",19.8377770319287,2228.76672010964,0.00890078663367376,0.99289829353705
"15","Age.at.Gluten.Introduction..months.5",19.7902825457693,2228.7667069876,0.00887947692493927,0.992915295552759
"16","Age.at.Gluten.Introduction..months.6",18.8845057955564,2228.76663314692,0.00847307453131255,0.993239545541239
"17","Age.at.Gluten.Introduction..months.7",18.1470343353932,2228.76662747958,0.00814218685422211,0.993503546598544
"18","Age.at.Gluten.Introduction..months.8",18.31006573214,2228.76664794856,0.00821533548565671,0.99344518438691
"19","Age.at.Gluten.Introduction..months.9",20.0318207436329,2228.76663691619,0.0089878502360165,0.992828829611597
"20","Age.at.Gluten.Introduction..months.Unknown",0.937390328868093,9967.49156623426,9.4044757664364e-05,0.999924963139946
"21","Age.at.Solid.Introduction..months.11",-18.4857100455713,35363.9229011462,-0.000522727925214771,0.999582923477965
"22","Age.at.Solid.Introduction..months.4",0.60544806149433,34003.2883276633,1.78055738509787e-05,0.999985793207529
"23","Age.at.Solid.Introduction..months.5",0.821047902293779,34003.2883257697,2.41461324101275e-05,0.999980734173749
"24","Age.at.Solid.Introduction..months.6",0.905347230040771,34003.2883266868,2.66252846296112e-05,0.999978756096469
"25","Age.at.Solid.Introduction..months.7",0.304239635150033,34003.2883260321,8.94735921517079e-06,0.999992861040222
"26","Age.at.Solid.Introduction..months.8",20.4600013177237,33930.1675545204,0.00060300325027419,0.99951887304565
"27","Age.at.Solid.Introduction..months.Unknown",0.617073292341936,34003.2883291279,1.81474593389057e-05,0.999985520422377
