"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.790739823235616,2.20502715327984,2.20502715327984,0.274920385294382,2.87625023655085,3.62000282540218,43.7911849973152
"CountryUSA","CountryUSA",0.634316299291206,1.88573242402371,1.88573242402371,0.567029316835394,1.11866579109409,1.86007580989672,307.894823789288
"SexMale","SexMale",0.639555012062355,1.89563715592697,1.89563715592697,0.326359319905093,1.95966523109664,2.71801681918145,36.3716857493932
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.38442173798096,0.250468594398153,0.250468594398153,0.58973161258399,-2.34754540614658,1.08203633062995,2.2159282288101
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.279358700611125,0.756268580554135,0.756268580554135,0.422519768467016,-0.661173089308206,1.39151037832291,5.6469381306428
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.475145306324503,0.621794699198102,0.621794699198102,0.290490033866795,-1.63566818454909,1.42172277675402,3.00051710405173
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.208859235139702,0.811509459619576,0.811509459619576,0.32712150480338,-0.638476016015026,1.53328506824049,4.66821821095185
"feeding_first_yearFormula","feeding_first_yearFormula",-0.132771737213917,0.875664951019122,0.875664951019122,0.343067493217399,-0.38701345898074,1.56363178430293,5.55872607450265
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.8620907084306,422665104.551563,422665104.551563,2341.38363552315,0.00848305694422975,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.386308583029542,0.679560792393844,0.679560792393844,3772.25151827558,-0.000102407960115591,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.6374650265754,337631298.959005,337631298.959005,2341.38361984907,0.00838711984661498,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.6283392203058,334564157.489593,334564157.489593,2341.38369387269,0.00838322196898884,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.2854621828823,645452502.392089,645452502.392089,2341.38367885306,0.00866387784543676,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.5283539652098,302730632.131478,302730632.131478,2341.38360247081,0.00834051880460852,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.6399886193978,124521458.867451,124521458.867451,2341.38359811433,0.00796109985327044,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.8048657021263,146841701.229581,146841701.229581,2341.38362241401,0.00803151842445117,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.3096303388315,661241931.274851,661241931.274851,2341.38360975218,0.00867420026954963,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.0561343899564119,1.05773982379411,1.05773982379411,35867.7024731019,1.5650400244763e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.153263026510444,1.16563153061932,1.16563153061932,35867.7024710582,4.27300930786165e-06,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.292475971206097,1.33974054382771,1.33974054382771,35867.7024720033,8.15429902248103e-06,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",-0.148675702214247,0.861848565165295,0.861848565165295,35867.7024716303,-4.14511362504589e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",20.7755066496593,1053629439.32907,1053629439.32907,35791.2006480416,0.000580464088197502,1,Inf
