"","term","coef","exp_coef","se","z_value","p_value","ci_lower","ci_upper"
"get(i)","get(i)",0.968426102207116,2.63379586997605,2.63379586997605,0.313834066665863,3.08579024736085,4.15283167605298,130.597750767362
"CountryUSA","CountryUSA",0.426083439498072,1.53124853641231,1.53124853641231,0.562133899367641,0.757974994885355,1.66331224723349,100.307282679233
"SexMale","SexMale",0.677215789290096,1.96838968419459,1.96838968419459,0.32366487617027,2.09233636131044,2.83991850070066,40.9380993814082
"Delivery.ModeVaginal","Delivery.ModeVaginal",-1.14250195086967,0.319019850497107,0.319019850497107,0.579404221023604,-1.97185645084061,1.10791222147732,2.69967971041247
"HLA.CategoryLow/No Risk","HLA.CategoryLow/No Risk",-0.21338883612666,0.80784195800043,0.80784195800043,0.429433500816302,-0.496907753403108,1.41647371088908,6.51686811527744
"HLA.CategoryStandard Risk","HLA.CategoryStandard Risk",-0.414060245341332,0.66096113023751,0.66096113023751,0.292997353389999,-1.41318766381548,1.45092282866522,3.23409879350391
"feeding_first_yearBreastmilk_and_formula","feeding_first_yearBreastmilk_and_formula",-0.199308222810558,0.819297328286564,0.819297328286564,0.32890045857714,-0.60598341416971,1.53727655748626,4.76356897985628
"feeding_first_yearFormula","feeding_first_yearFormula",-0.115562247938828,0.890865115993833,0.890865115993833,0.339331586935459,-0.340558475509114,1.58108726710248,5.65428326778058
"Age.at.Gluten.Introduction..months.11","Age.at.Gluten.Introduction..months.11",19.6718877776861,349455846.277054,349455846.277054,2365.55108134607,0.00831598519804196,1,Inf
"Age.at.Gluten.Introduction..months.15","Age.at.Gluten.Introduction..months.15",-0.457381123791082,0.632939065951689,0.632939065951689,3802.07710472821,-0.000120297698124609,1,Inf
"Age.at.Gluten.Introduction..months.36","Age.at.Gluten.Introduction..months.36",19.4352271113175,275811194.395942,275811194.395942,2365.55106942616,0.0082159406163369,1,Inf
"Age.at.Gluten.Introduction..months.4","Age.at.Gluten.Introduction..months.4",19.4348958311032,275719838.737333,275719838.737333,2365.55114123764,0.00821580032335932,1,Inf
"Age.at.Gluten.Introduction..months.5","Age.at.Gluten.Introduction..months.5",20.1310495047147,553100071.764633,553100071.764633,2365.5511209065,0.00851008854841419,1,Inf
"Age.at.Gluten.Introduction..months.6","Age.at.Gluten.Introduction..months.6",19.3334304642463,249116312.601959,249116312.601959,2365.55104947874,0.00817290773264289,1,Inf
"Age.at.Gluten.Introduction..months.7","Age.at.Gluten.Introduction..months.7",18.4744734838696,105526586.499757,105526586.499757,2365.55104512804,0.00780979701195566,1,Inf
"Age.at.Gluten.Introduction..months.8","Age.at.Gluten.Introduction..months.8",18.6462060739955,125298077.177146,125298077.177146,2365.55106623735,0.00788239422945716,1,Inf
"Age.at.Gluten.Introduction..months.9","Age.at.Gluten.Introduction..months.9",20.2151725763182,601641659.666495,601641659.666495,2365.55105504714,0.00854565050844585,1,Inf
"Age.at.Solid.Introduction..months.4","Age.at.Solid.Introduction..months.4",0.234595619957301,1.26439736827802,1.26439736827802,37085.8255438253,6.32574889508859e-06,1,Inf
"Age.at.Solid.Introduction..months.5","Age.at.Solid.Introduction..months.5",0.385162382328589,1.46985298021325,1.46985298021325,37085.8255419276,1.0385703343536e-05,1,Inf
"Age.at.Solid.Introduction..months.6","Age.at.Solid.Introduction..months.6",0.6007785538587,1.82353797039202,1.82353797039202,37085.8255426184,1.6199681281688e-05,1,Inf
"Age.at.Solid.Introduction..months.7","Age.at.Solid.Introduction..months.7",0.0415852674751375,1.04246204616855,1.04246204616855,37085.8255423911,1.12132511187066e-06,1,Inf
"Age.at.Solid.Introduction..months.8","Age.at.Solid.Introduction..months.8",21.1147746998611,1479211037.57109,1479211037.57109,37010.2989933994,0.000570510784136783,1,Inf
